Front,Back
Which RAID levels are most common in storage arrays and why?,RAID Level 6 and Multidimensional RAID 6 are most common in storage arrays because they offer good performance and protection (tolerating multiple drive failures) without incurring the large space overhead of mirroring.
What is unique about how the InServ storage array (HP 3Par) handles RAID?,"The InServ storage array does not require drives to be configured at a specific RAID level. Instead, each drive is broken into 256-MB 'chunklets,' and RAID is applied at the chunklet level. A single drive can participate in multiple, various RAID levels across different volumes."
"Define Utility Storage, as featured in the InServ array.","Utility storage is an InServ feature that allows an administrator to configure a host with a large logical storage space, but initially allocate only a small amount of physical storage. As the host uses more storage, unused drives (or 'chunklets' in InServ's case) are dynamically allocated up to the original logical level, without the file system noticing changes."
List types of problems that RAID does NOT protect against.,"RAID does not protect against logical errors such as wrong file pointers, wrong pointers within file structures, incomplete writes ('torn writes'), accidental overwrites of file system structures, or total data loss due to hardware RAID controller failure or software RAID bugs."
What is Solaris ZFS?,"Solaris ZFS is an advanced file system, first included as part of Solaris, known for its innovative approach to data integrity using checksums and its integrated file system and volume management capabilities."
How does Solaris ZFS enhance data consistency and error correction?,"ZFS maintains internal checksums for all blocks (data and metadata), storing these checksums with the pointers to the blocks (e.g., in the inode for data blocks). If a block's checksum is incorrect, ZFS detects the problem and, if mirrored, automatically updates the bad block with the good one, providing higher consistency, error detection, and error correction than standard RAID or file systems."
Define Inode in file systems.,"An inode (index node) is a per-file data structure in many file systems that holds most of the metadata of the file, such as permissions, ownership, timestamps, and pointers to the file's data blocks."
What is a Pool in Solaris ZFS?,"In ZFS, a pool is a logical grouping of drives, partitions, or RAID sets that can contain one or more ZFS file systems. The entire pool's free space is available to all file systems within that pool, providing flexible storage allocation."
How does ZFS address the flexibility limitations of traditional RAID and volume management?,"ZFS combines file system management and volume management, allowing drives or partitions to be gathered into flexible 'pools' of storage. File systems within a pool can dynamically use the pool's free space without artificial limits, relocation, or resizing, avoiding the need to pre-allocate fixed-size volumes."
What is Object Storage?,"Object storage is an alternative data storage approach, typically computer-oriented and designed for programs, where data is placed as self-describing 'objects' into a flat storage pool. Objects are accessed, created, or deleted via unique object IDs rather than through a traditional navigable file system hierarchy."
How does Object Storage differ from traditional file systems?,"Unlike file systems, object storage provides no way to navigate the storage pool or find objects directly; instead, objects are accessed via unique object IDs. It is designed for programs rather than direct user interaction and often runs on commodity hardware without traditional RAID arrays, relying on software for data protection."
Define Hadoop File System (HDFS).,"HDFS is an example of object storage management software, commonly used in Hadoop clusters, which determines where to store objects and manages their protection, often by storing copies of objects on different computers."
Define Ceph.,"Ceph is a brand of object storage management software known for its distributed, scalable object, block, and file storage capabilities."
"What is the primary advantage of Object Storage, especially in large-scale deployments?","The primary advantage of object storage is horizontal scalability, meaning capacity can be increased simply by adding more computers with internal or external disks to the storage pool, allowing for petabytes of storage."
Define Horizontal Scalability.,"Horizontal scalability is the ability to increase capacity (e.g., storage capacity or processing power) by adding more items (such as individual computers or storage nodes) to a system, rather than expanding the capabilities of a single, existing item."
"What is another term for Object Storage, and why is it called that?","Another term for object storage is Content-Addressable Storage, because objects can be retrieved based on their contents or properties rather than a fixed path or name."
Define Unstructured Data in the context of object storage.,"Unstructured data refers to data that does not have a fixed format but is rather free-form, a characteristic often found in objects stored in object storage systems."
List common real-world examples of data stored in object stores.,"Common examples include Google search contents, Dropbox files, Spotify songs, Facebook photos, and data objects for customer applications in cloud computing services like Amazon S3."
