Front,Back
"How is a directory often treated in a tree-structured directory system, and how is its type distinguished?",A directory is often treated as a special file; one bit defines whether an entry is a file (0) or a subdirectory (1).
How are directories created and deleted in a tree-structured system?,Using special system calls.
What is a 'current directory' in a tree-structured file system?,Each process has a directory that is currently being referenced.
How is a file referenced in a tree-structured directory system if it's not in the current directory?,One must specify its path name or change the current directory.
Where does the initial current directory come from?,From an accounting file.
Define 'absolute path name' in a tree-structured directory.,"A path name that begins at the root (e.g., '/') and follows the path down to the file."
Define 'relative path name' in a tree-structured directory.,A path name that defines the path from the current directory.
Provide an example of a relative path name.,"If the current directory is '/spell/mail', then 'prt/first' refers to '/spell/mail/prt/first'."
How do users typically organize their files in a tree-structured directory system?,By defining subdirectories based on topic or information type.
How is a directory deleted if it is empty in some tree-structured systems?,The entry is simply deleted.
How do some systems (like UNIX with 'rm -r') handle the deletion of a non-empty directory in a tree-structured system?,"They delete the directory and all its files/subdirectories recursively, which is convenient but dangerous."
How do other systems handle the deletion of a non-empty directory in a tree-structured system if they do not support recursive deletion?,"They only delete the directory if it's empty, requiring the user to delete contents recursively first."
How can users access other users' files in a tree-structured directory system?,By specifying the full path name or by changing their current directory to the relevant path.
What is the primary feature of acyclic-graph directories?,They allow directories to share subdirectories and files.
What constraint defines an acyclic-graph directory structure?,There are no cycles (loops) in the graph.
What happens when a shared file is modified in an acyclic-graph directory system?,"Changes are visible to all directories sharing the file, as only one actual file exists."
What happens when new files are added to a shared subdirectory in an acyclic-graph directory system?,The new files appear in all shared subdirectories.
What are two main ways to implement shared files/subdirectories in an acyclic-graph directory system?,Using links (pointers) or by duplicating all information in both sharing directories.
What is a 'link' in the context of acyclic-graph directories?,"A file that has no contents but points to another file or subdirectory (e.g., using an absolute or relative path name)."
What does it mean to 'resolve' a link?,To follow the path name in the link to locate the real target file.
How does the OS typically handle links during directory traversal in acyclic-graph systems?,It ignores links to preserve the acyclic structure.
What is a disadvantage of implementing sharing by duplicating all information in both sharing directories?,It leads to consistency issues if the original file/subdirectory is modified.
What are the main problems associated with acyclic-graph directories?,"Multiple absolute path names for the same file (aliasing), issues with traversing the entire file system efficiently, and complexity in determining when space can be deallocated upon deletion."
What is the 'aliasing' problem in acyclic-graph directories?,The same file can have multiple absolute path names.
What is a challenge when traversing an entire file system structured as an acyclic graph?,Avoiding traversing shared structures more than once.
What problem does deleting a file linked in an acyclic-graph directory present?,Deleting the original file may leave dangling pointers if other links to it still exist.
How do symbolic links behave upon deletion of the original file?,"Deletion of the link itself doesn't affect the original file, but if the original file is deleted, the symbolic links dangle."
How can the dangling pointer problem be avoided when deleting files in an acyclic-graph directory system?,"By preserving the file until all references to it are deleted, typically by using a reference count."
How does a 'reference count' work for file deletion?,The count is incremented on a new link/entry creation and decremented on deletion; the file is deleted only when the count reaches 0.
What type of links in UNIX use a reference count for deletion?,Hard links.
What are hard links?,File-system links where a file has two or more names pointing to the same inode.
What is the main characteristic of a general graph directory structure?,It allows cycles (loops) in the directory structure.
What is the primary advantage of acyclic graph directories over general graph directories?,Simpler traversal and deletion algorithms.
What are the problems associated with cycles in a general graph directory structure?,Infinite loops during search/traversal and reference counts may not reach 0 even if a file/directory is inaccessible.
What is required to determine when space can be reallocated in a general graph directory system with cycles?,Garbage collection.
What is 'garbage collection' in the context of file systems?,The recovery of space containing no-longer-valid data.
Why is garbage collection problematic for disk-based file systems?,It can be very time-consuming.
What is a simpler approach to dealing with cycles in general graph directories?,Bypass links during directory traversal.
Define 'user file directory (UFD)'.,Per-user directory of files in two-level directory implementation.
Define 'main file directory (MFD)'.,Index pointing to each UFD in two-level directory implementation.
Define 'path name'.,"File-system name for a file, containing mount-point and directory-entry info to locate it (e.g., 'C:/foo/bar.txt')."
Define 'search path'.,Sequence of directories searched for an executable file when a command is executed.
Define 'absolute path name'.,Path name starting at the top of the file system hierarchy.
Define 'relative path name'.,"Path name starting at a relative location (e.g., current directory)."
Define 'acyclic graph' in the context of directory structures.,Directory structure implementation that contains no cycles (loops).
Define 'link' (in the context of acyclic-graph directories).,File that has no contents but points to another file.
Define 'resolve' (in relation to links).,To follow a link and find the target file.
Define 'hard links'.,File-system links where a file has two or more names pointing to the same inode.
Define 'garbage collection' (in context of file systems).,Recovery of space containing no-longer-valid data.
