Front,Back,Reversible
How does automatic working-set trimming operate in Windows when a process holds more pages than its working-set minimum?,It removes pages until sufficient memory is available or the process reaches its working-set minimum.,y
Which types of processes are prioritized for trimming during automatic working-set trimming in Windows?,"Larger, idle processes are targeted before smaller, active processes.",y
To what extent does automatic working-set trimming persist in Windows?,"It continues until sufficient free memory is achieved, even if processes shrink below their working-set minimum.",y
Which categories of processes does Windows perform trimming on?,Both user-mode and system processes.,y
What happens in Solaris when a thread incurs a page fault?,The kernel assigns a page from the free list.,y
What is the `lotsfree` parameter in Solaris?,A threshold (typically 1/64 of physical memory) at which the kernel begins paging.,y
How often does the Solaris kernel check free memory against the `lotsfree` parameter?,Four times per second.,y
When does the `pageout` process initiate in Solaris?,If the number of free pages falls below the `lotsfree` threshold.,y
What algorithm does the `pageout` process in Solaris employ?,"An algorithm similar to the second-chance algorithm, utilizing two 'hands'.",y
What is the role of the 'front hand' in the Solaris `pageout` process?,It scans all pages and sets their reference bit to 0.,y
What is the role of the 'back hand' in the Solaris `pageout` process?,"It examines the reference bit; if it is still 0, the page is appended to the free list and written to secondary storage if modified.",y
How does Solaris manage minor page faults?,A process can reclaim a page from the free list if it was accessed before being reassigned.,y
What parameter controls the rate at which pages are scanned by the Solaris `pageout` algorithm?,"The `scanrate` parameter, which specifies pages per second.",y
What is the range for the `scanrate` in Solaris?,From `slowscan` to `fastscan`.,y
"What is the default `slowscan` rate in Solaris, and when is it typically applied?","100 pages/sec, applied when free memory falls below `lotsfree`.",y
What is the maximum `fastscan` rate in Solaris?,"Total physical pages/2, with a maximum of 8,192 pages/sec (depending on free memory levels).",y
What system parameter determines the distance between the two hands in the Solaris `pageout` algorithm?,The `handspread` system parameter.,y
How is the time interval between clearing and checking a page's reference bit determined in Solaris?,It depends on the `scanrate` and `handspread` parameters.,y
How frequently does the Solaris `pageout` process check memory conditions?,Four times per second.,y
Under what condition does the Solaris `pageout` process run 100 times per second?,If free memory falls below `desfree` (desired free memory).,y
What is the primary objective of the `desfree` parameter in Solaris?,To ensure that at least `desfree` memory is kept available.,y
What action does the Solaris kernel take if it cannot maintain `desfree` memory for a 30-second average?,"The kernel swaps processes (freeing all their pages), typically targeting idle processes.",y
When is the `pageout` process called for every new page request in Solaris?,If the system is unable to maintain `minfree`.,y
What specific types of pages does the Solaris page-scanning algorithm skip during reclamation?,"Shared library pages, even if they would otherwise be eligible for reclamation.",y
How does the Solaris page-scanning algorithm distinguish between different types of pages for reclamation?,"It distinguishes between pages for processes and regular data files, a process known as `priority paging`.",y
Define 'priority paging' in Solaris.,"Prioritizing the selection of victim frames based on specific criteria, such as avoiding shared library pages.",y
What is virtual memory?,Abstracts physical memory into an extremely large uniform array of storage.,y
Name one benefit of virtual memory related to program size.,Program can be larger than physical memory.,y
Name one benefit of virtual memory related to program loading.,Program does not need to be entirely in memory.,y
Name one benefit of virtual memory related to process interaction.,Processes can share memory.,y
Name one benefit of virtual memory related to process creation.,Processes can be created more efficiently.,y
Define Demand paging.,Pages are loaded only when demanded during program execution.,y
"In demand paging, what happens to pages that are never demanded?",Pages never demanded are never loaded.,y
What is a page fault?,Occurs when a page not in memory is accessed.,y
What action must be taken when a page fault occurs?,The page must be brought from the backing store into an available page frame.,y
Define Copy-on-write.,A mechanism where a child process shares the same address space as its parent.,y
Under what condition is a copy of a page made in a copy-on-write system?,If the child or parent modifies the shared page.,y
When are page-replacement algorithms used?,"When available memory is low, a page-replacement algorithm selects an existing page to replace.",y
Name common page-replacement algorithms.,"FIFO, optimal, LRU.",y
Why is pure LRU impractical to implement?,Most systems use LRU-approximation algorithms instead.,y
Define Global page-replacement algorithms.,Algorithms that select a page from any process for replacement.,y
Define Local page-replacement algorithms.,Algorithms that select a page only from the faulting process for replacement.,y
What is Thrashing?,A state where the system spends more time paging than executing.,y
Define Locality (in the context of memory management).,A set of pages actively used together.,y
How does process execution typically behave with regard to locality?,Process execution moves from locality to locality.,y
What is a Working set?,"Based on locality, it's the set of pages currently in use by a process.",y
What is Memory compression?,A technique that compresses a number of pages into a single page.,y
When is memory compression used as an alternative to paging?,On mobile systems without paging support.,y
How is Kernel memory allocation different from user-mode process memory allocation?,"Kernel memory is allocated differently, in contiguous chunks of varying sizes.",y
Name two common techniques for kernel memory allocation.,Buddy system and Slab allocation.,y
What is TLB reach?,The amount of memory accessible from the Translation Lookaside Buffer (TLB).,y
How is TLB reach calculated?,Number of entries in TLB × page size.,y
What is a technique to increase TLB reach?,Increase the page size.,y
"How do Linux, Windows, and Solaris manage virtual memory?","They manage it similarly, using demand paging, copy-on-write, and variations of LRU approximation (e.g., clock algorithm).",y
What is one traditional method for program loading?,Loading the entire program into physical memory at execution.,y
What is a problem with loading an entire program into physical memory at execution?,"The entire program may not be needed initially (e.g., unselected options), leading to inefficient memory use.",y
What is an alternative to loading an entire program into physical memory at execution?,"Loading pages only as needed, which is called demand paging.",y
When are pages loaded into physical memory in a demand paging system?,Only when they are 'demanded' during execution.,y
What happens to unaccessed pages in a demand paging system?,They are never loaded into physical memory.,y
What is demand paging similar to?,Paging with swapping.,y
What is a key benefit of demand paging?,More efficient memory use by loading only the needed portions of a program.,y
What hardware support is needed to distinguish between pages in memory and pages in secondary storage?,A valid-invalid bit scheme for page table entries.,y
"In a valid-invalid bit scheme, what does a 'valid' bit indicate?",That the associated page is legal and currently in memory.,y
"In a valid-invalid bit scheme, what does an 'invalid' bit indicate?",That the associated page is either not valid (not in the logical address space) or is valid but currently located in secondary storage.,y
What happens if a process attempts to access a page marked as 'invalid' in the page table?,A 'page fault' occurs.,y
What does a page fault cause?,A trap to the operating system (OS).,y
What is the first step in the page fault handling procedure?,Check an internal table (like the process control block) to determine if the memory access is valid or invalid.,y
"In page fault handling, what happens if the memory access is determined to be invalid?",The process is terminated.,y
"In page fault handling, what happens if the memory access is valid but the page is not in memory?",The operating system initiates the process to bring the page into memory.,y
"After determining a valid but non-resident page, what is the next step in page fault handling?",Find a free frame in physical memory.,y
What happens after a free frame is found during page fault handling?,A secondary storage operation is scheduled to read the required page into the new free frame.,y
What happens after the storage read is complete during page fault handling?,The internal table and the page table are modified to indicate that the page is now in memory.,y
What is the final step in the page fault handling procedure?,"The interrupted instruction is restarted, allowing the process to access the page as if it had always been in memory.",y
What is 'pure demand paging'?,"A form of demand paging where a process starts with no pages in memory, and pages are brought in only as they are faulted for.",y
Why does demand paging generally have reasonable performance?,Because programs tend to exhibit 'locality of reference'.,y
What two main hardware components are crucial for demand paging?,The page table and secondary memory (swap device/swap space).,y
What is the role of the page table in demand paging hardware support?,It marks entries as invalid using valid-invalid bits or protection bits.,y
What is the role of secondary memory in demand paging hardware support?,"It holds pages that are not currently in main memory, often referred to as swap space or a swap device.",y
What is a crucial requirement for an operating system supporting demand paging related to instructions?,The ability to restart any instruction after a page fault occurs.,y
What process state information must be saved on a page fault to allow instruction restart?,"Registers, condition code, and the instruction counter.",y
"What is a difficulty encountered with restarting instructions after a page fault, especially for older architectures?","Instructions that modify multiple locations, like the IBM System 360/370 MVC instruction.",y
What is one solution for restarting instructions that modify multiple locations after a page fault?,"Microcode accessing both ends of blocks before modification, ensuring a fault happens before any modification.",y
What is another solution for restarting instructions that modify multiple locations after a page fault?,Using temporary registers to store overwritten values and restoring old values on a fault before the trap.,y
How should paging appear to a running process?,It should be transparent to the process.,y
What does the operating system maintain to handle page faults and memory allocation?,A free-frame list.,y
"Besides page faults, for what other purposes are free frames allocated from the free-frame list?",For stack and heap segment expansion.,y
What is 'zero-fill-on-demand'?,A technique used by most operating systems where frames are 'zeroed-out' (filled with zeros) before being allocated to a process.,y
What is the purpose of 'zero-fill-on-demand'?,To ensure security by preventing a process from accessing the previous contents of a frame.,y
What is the state of the free-frame list at system startup?,All available memory is placed on the free-frame list.,y
What happens to the free-frame list as requests for memory frames are made?,It shrinks and must be repopulated when its size becomes low.,y
What is the formula for calculating the effective access time for demand-paged memory?,"Effective Access Time = (1 - p) * ma + p * page fault time, where 'p' is the probability of a page fault and 'ma' is the memory access time.",y
What are the three main components of page fault service time?,"Servicing the page-fault interrupt, reading in the page from secondary storage, and restarting the process.",y
What is the typical time range for servicing a page-fault interrupt and restarting the process?,1 to 100 microseconds.,y
What is the approximate HDD page-switch time?,"Around 8 milliseconds (composed of ~3ms latency, ~5ms seek, and ~0.05ms transfer).",y
How does the effective access time relate to the page-fault rate?,It is directly proportional to the page-fault rate.,y
"What is the impact on performance if the page-fault rate is 1/1000, given a memory access time of 200 ns and a page-fault service time of 8 ms?","The effective access time would be 8.2 microseconds, representing a 40x slowdown.",y
What condition is crucial for good demand-paging performance?,A very low page-fault rate.,y
How does swap space I/O generally compare to file system I/O?,Swap space I/O is generally faster than file system I/O because it typically uses larger blocks and avoids file lookups.,y
Describe one strategy for swap space usage where the entire file image is copied.,"The entire file image is copied to swap space at startup, and then pages are demand-paged from this swap space. (Disadvantage: initial copy time).",y
Describe a common swap space usage strategy used by Linux and Windows.,"Pages are initially demand-paged directly from the file system, but if they are modified and later replaced, they are written to swap space.",y
How do Linux and BSD UNIX handle demand paging for binary executables?,"They demand-page binary executables directly from the file system. If frames holding these pages are replaced, they are simply overwritten (as they are never modified), with the file system acting as the backing store.",y
"What type of memory still typically uses swap space, regardless of the executable paging strategy?",Anonymous memory (such as stack and heap).,y
How do mobile operating systems like iOS typically handle memory and swapping?,"They typically do not use swapping. Instead, they demand-page from the file system and reclaim read-only pages if memory becomes constrained.",y
"How are anonymous memory pages handled in mobile OS like iOS, given they typically don't swap?",They are not reclaimed unless the application is terminated or explicitly releases the memory.,y
What is an alternative to swapping in mobile systems?,Compressed memory.,y
Define 'demand paging'.,Bringing in pages from storage as needed rather than entirely at process load time.,y
Define 'page fault'.,A fault that occurs when a reference is made to a non-memory-resident page.,y
Define 'pure demand paging'.,A specific type of demand paging where no page is brought into memory until it is referenced.,y
Define 'locality of reference'.,The tendency of processes to reference memory in predictable patterns rather than randomly.,y
Define 'swap space'.,The secondary storage backing-store space used for memory pages that have been paged out of physical memory.,y
Define 'free-frame list'.,A kernel-maintained list of available free physical memory frames.,y
Define 'zero-fill-on-demand'.,"The process of writing zeros into a page before making it available to a process, typically for security reasons.",y
Define 'effective access time'.,"The measured or calculated time required to access a resource, such as memory.",y
Define 'page-fault rate'.,A measure of how often a page fault occurs per memory access attempt.,y
Define 'anonymous memory'.,"Memory that is not associated with a file; if it becomes dirty and needs to be paged out, it is stored in swap space.",y
What is a characteristic of `fork()` regarding demand paging?,Process creation using `fork()` can bypass demand paging initially.,y
What technique is Copy-on-write similar to for rapid process creation?,Page sharing.,y
What is the primary goal of Copy-on-write in process creation?,To minimize new pages allocated to the child process.,y
How did traditional `fork()` behave regarding the parent's address space?,"Traditionally, `fork()` copied the parent's entire address space for the child.",y
When might copying the parent's address space for the child be unnecessary?,If the child immediately calls `exec()`.,y
Define Copy-on-write (concept).,"Parent and child processes initially share the same pages; if either process writes to a shared page, a copy of that page is created.",y
How are pages marked when Copy-on-write is in effect?,Shared pages are marked as copy-on-write.,y
What happens when a process writes to a shared page marked copy-on-write?,"A copy of the shared page is created, and the write operation occurs on the new copy.",y
Describe the process when a child modifies a copy-on-write stack page.,"The OS gets a free frame, copies the original page to it, and maps the copied page to the child's address space. The child then modifies its new, copied page, not the parent's.",y
"Which pages are copied when using Copy-on-write, and which can remain shared?","Only modified pages are copied; unmodified pages (e.g., executable code) can continue to be shared.",y
In which operating systems is Copy-on-write a common technique?,"Windows, Linux, macOS.",y
What is `vfork()`?,"A variation of `fork()` found in UNIX systems (Linux, macOS, BSD UNIX).",y
How does `vfork()` differ from `fork()` in terms of address space sharing and Copy-on-write?,"With `vfork()`, the parent process is suspended, and the child directly uses the parent's address space. `vfork()` does not use copy-on-write.",y
What is a critical consequence of a child process modifying the parent's address space when using `vfork()`?,Changes made by the child process to the parent's address space will be visible to the parent upon its resumption.,y
What caution should be exercised when using `vfork()`?,The child process must not modify the parent's address space.,y
What is the intended use case for `vfork()`?,It is intended for use when the child process calls `exec()` immediately after creation.,y
What is the efficiency characteristic of `vfork()` process creation?,It is extremely efficient because no page copying is involved.,y
For what specific application is `vfork()` sometimes used?,To implement UNIX command-line shell interfaces.,y
Define: copy-on-write,"A technique where a write operation causes data to be copied then modified; specifically, on a shared page write, the page is copied, and the write occurs to the copy.",y
Define: virtual memory fork,"Refers to the `vfork()` system call, where the child process shares the parent's address space for read/write access, and the parent process is suspended during this time.",y
What is the primary benefit of demand paging in terms of I/O?,Demand paging saves I/O by loading only used pages.,y
How can the degree of multiprogramming be increased using memory management techniques?,By over-allocating memory.,y
Explain the concept of 'over-allocating' memory.,Providing access to more resources than physically available; allocating more virtual memory than physical memory.,y
What problem can arise from over-allocating memory?,"Processes may suddenly need all pages (e.g., 60 frames needed, only 40 available).",y
How does over-allocation manifest in a system?,As a page fault with no free frames.,y
"What additional system component uses memory, increasing strain on memory-placement?",I/O buffers.,y
What action is taken if there are no free frames during a page fault?,A frame not in use is found and freed.,y
Describe the process of freeing a frame.,Write its contents to swap space and change the page table to indicate the page is no longer in memory.,y
What is the purpose of 'page replacement'?,Selection of a physical memory frame to be replaced when a new page is allocated.,y
"In the modified page-fault service routine, what is the first step?",Find the desired page on secondary storage.,y
"In the modified page-fault service routine, if no free frame is available, what is selected?","A victim frame, using a page-replacement algorithm.",y
What is a 'victim frame'?,The frame selected by the page-replacement algorithm to be replaced.,y
What happens to a victim frame if it has been modified?,Its contents are written to secondary storage before replacement; page/frame tables are updated.,y
How does page-fault service time change if no free frames are available?,"It doubles due to two page transfers (page-out for victim, page-in for desired page).",y
What is used to reduce overhead in page replacement when a page is unchanged?,A modify bit (or dirty bit).,y
What is a 'modify bit' (or 'dirty bit')?,An MMU bit indicating a frame has been modified (must be saved before replacement).,y
When is the modify bit set?,Hardware sets the modify bit if the page has been written to.,y
What is the advantage of a modify bit being unset when a page is replaced?,"No need to write the page to storage (because it's unchanged), significantly reducing page-fault service time.",y
How does page replacement relate to logical and physical memory?,"It separates logical and physical memory, allowing enormous virtual memory on smaller physical memory.",y
What are the two major problems for demand paging?,1. Frame-allocation algorithm (how many frames to allocate to each process). 2. Page-replacement algorithm (which frames to replace).,y
What is a 'frame-allocation algorithm'?,An OS algorithm for allocating frames among all demands.,y
What is a 'page-replacement algorithm'?,An algorithm choosing which victim frame will be replaced by a new data frame.,y
What is the primary goal of a page replacement algorithm?,To achieve the lowest page-fault rate.,y
How are page replacement algorithms evaluated?,Using a reference string (a trace of memory accesses).,y
What is a 'reference string'?,A trace of accesses to a resource; a list of pages accessed over time.,y
What simplification is typically made when creating a reference string?,"Only the page number is recorded, and immediate repeated references are ignored.",y
What is the general relationship between the number of allocated frames and the page-fault rate?,More frames generally lead to fewer page faults.,y
"Describe the First-in, First-out (FIFO) page replacement algorithm.","It replaces the oldest page, meaning the first one brought into memory.",y
How can the FIFO page replacement algorithm be implemented?,"Using a FIFO queue: replace the page at the head, and insert the new page at the tail.",y
What are the advantages of the FIFO page replacement algorithm?,It is easy to understand and program.,y
What is a common performance issue with the FIFO page replacement algorithm?,"It may replace actively used pages, leading to increased page-fault rates and slowed execution.",y
What is 'Belady's anomaly'?,A phenomenon where the page-fault rate may increase as the number of allocated frames increases for some algorithms.,y
Which page replacement algorithm suffers from Belady's anomaly?,FIFO page replacement.,y
What is the 'optimal page-replacement algorithm' (OPT or MIN)?,"The algorithm with the lowest page-fault rate, which never suffers from Belady's anomaly.",y
What is the rule for the Optimal (OPT) page replacement algorithm?,Replace the page that will not be used for the longest period of time.,y
What is the primary difficulty in implementing the Optimal page replacement algorithm?,"It requires future knowledge of the reference string, which is impossible in practice.",y
What is the main use of the Optimal page replacement algorithm?,Mainly for comparison studies to evaluate other algorithms.,y
What algorithm does the Least Recently Used (LRU) algorithm approximate?,The optimal page-replacement algorithm.,y
Describe the rule for the 'Least Recently Used (LRU)' algorithm.,It replaces the page that has not been used for the longest period of time.,y
How is LRU page replacement related to the optimal algorithm?,It is like the optimal algorithm looking backward in time.,y
Does LRU page replacement suffer from Belady's anomaly?,"No, because it is a stack algorithm.",y
What is a 'stack algorithm'?,A class of page-replacement algorithms that do not suffer from Belady's anomaly.,y
What is required for the true implementation of the LRU algorithm?,Substantial hardware assistance.,y
How can LRU be implemented using counters?,Associate a time-of-use field with each page-table entry; the CPU logical clock increments; copy the clock to the field on reference. Replace the page with the smallest time value.,y
How can LRU be implemented using a stack?,"Keep a stack of page numbers; on reference, remove the page and put it on top. The most recently used page is at the top, and the least recently used is at the bottom. Best with a doubly linked list.",y
Why is true LRU implementation expensive?,Due to the need for per-memory-reference updates.,y
Why do many systems use LRU-approximation algorithms?,Because they lack the hardware for true LRU implementation.,y
What is a 'reference bit'?,An MMU bit indicating a page has been referenced.,y
How is the reference bit used in LRU approximation?,Hardware sets the bit when a page is referenced; the OS periodically clears the bits to determine which pages have been used (but not their exact order).,y
Describe the 'Additional-reference-bits algorithm'.,"It keeps an 8-bit byte for each page. On a timer interrupt (e.g., every 100ms), the OS shifts the reference bit into the high-order bit of the byte and shifts others right. The 8-bit shift registers show the history, and the page with the lowest number is considered LRU.",y
What is another name for the 'Second-chance page-replacement algorithm'?,The clock algorithm.,y
Describe the 'second-chance page-replacement algorithm'.,"It's a basic FIFO algorithm. If a selected page's reference bit is 0, it's replaced. If the reference bit is 1, it's given a second chance: the bit is cleared, its arrival time is reset, and it's not replaced until others are replaced or given second chances.",y
How is the second-chance algorithm typically implemented?,"As a circular queue with a pointer that advances, clearing reference bits, until a page with a 0-bit is found.",y
When does the second-chance algorithm degenerate to FIFO?,If all reference bits are set.,y
What is the 'clock' in the context of the second-chance algorithm?,A circular queue in the second-chance algorithm containing possible victim frames.,y
What two bits does the 'Enhanced second-chance algorithm' consider?,"The reference bit and the modify bit, as an ordered pair (reference bit, modify bit).",y
"List the four classes of pages in the Enhanced second-chance algorithm, from best to worst for replacement.","1. (0, 0): neither recently used nor modified (best to replace). 2. (0, 1): not recently used but modified (needs write-out). 3. (1, 0): recently used but clean (likely used again soon). 4. (1, 1): recently used and modified (likely used again soon, needs write-out).",y
What is the replacement preference in the Enhanced second-chance algorithm?,"It replaces the first page found in the lowest nonempty class, preferring clean pages to reduce I/Os.",y
How do counting-based page replacement algorithms generally work?,They keep a counter of references for each page.,y
Describe the 'Least Frequently Used (LFU)' page replacement algorithm.,It selects the page with the smallest access count for replacement.,y
What is a problem with the LFU algorithm?,A page that was heavily used initially but is now unused might retain a high count and not be replaced readily.,y
How can the problem of high counts in LFU be mitigated?,By shifting counts right periodically (creating an exponentially decaying average).,y
Describe the 'Most Frequently Used (MFU)' page replacement algorithm.,"It selects the page with the smallest access count for replacement, assuming that pages with the smallest count were just brought in and are therefore likely to be used in the future.",y
Are LFU and MFU common in practice?,Neither LFU nor MFU are common because they are expensive to implement and do not approximate the optimal algorithm well.,y
What is the purpose of 'Page-buffering algorithms'?,They are used in addition to page replacement algorithms to improve performance.,y
How does a 'pool of free frames' page-buffering algorithm work?,"On a page fault, the desired page is read into a free frame from the pool before the victim is written out, allowing the process to restart faster. The victim frame is added to the pool after its write-out.",y
How does a 'list of modified pages' page-buffering algorithm work?,"When the paging device is idle, modified pages are written to secondary storage and their modify bits are reset, increasing the probability of a clean page for replacement (no write-out needed during fault).",y
What is the benefit of a 'pool of free frames remembering old page' algorithm?,"If an old page is needed before its frame is reused, it can be reused directly from the pool without I/O. The free-frame pool is checked first on a page fault.",y
Which operating system uses page buffering with the second-chance algorithm?,UNIX.,y
Why might some applications perform worse with OS virtual memory buffering?,"Applications often understand their memory/storage use better than general-purpose OS algorithms, and double buffering can occur if both the OS and application buffer I/O.",y
Provide an example of an application scenario where general-purpose OS algorithms might be inefficient.,"Data warehouses performing sequential reads then computations/writes. LRU might remove older pages that will be read again, making MFU potentially more efficient.",y
What is 'raw disk'?,"Direct access to secondary storage as a large sequential array of logical blocks, bypassing file-system services.",y
What file-system services does 'raw I/O' bypass?,"Demand paging, locking, prefetching, allocation, names, and directories.",y
When are raw partitions generally efficient?,"They are efficient for specific applications that can manage their own storage, but most applications are better served by regular file-system services.",y
What is the primary issue addressed by frame allocation?,How to allocate a fixed amount of free memory among multiple processes.,y
"In a pure demand paging system, where are frames placed initially after OS memory allocation?",On the free-frame list.,y
What happens when a page fault occurs and frames are available?,The process gets free frames from the free-frame list.,y
What happens when the free-frame list is exhausted during a page fault?,A page-replacement algorithm is used to free up a frame.,y
What happens to a process's frames when it terminates?,They are returned to the free-frame list.,y
Describe a variation in frame allocation related to OS buffer/table space.,"The OS can allocate buffer/table space from the free-frame list, which can then be used for user paging when not actively in use by the OS.",y
Describe a variation in frame allocation involving reserved free frames.,"A small number of free frames (e.g., 3) can be reserved: one for a page fault, and others for selecting a replacement page during a swap operation.",y
What is the basic strategy for user process frame allocation?,A user process is allocated any available free frame.,y
What are the two main constraints on frame allocation?,1. Cannot exceed the total available frames (unless page sharing is involved). 2. Must allocate at least a minimum number of frames.,y
How does having fewer frames impact system performance?,It leads to a higher page-fault rate and slower execution.,y
What is the consequence if a page fault occurs before an instruction can complete?,The instruction must be restarted.,y
What is required regarding the number of frames for an instruction to complete correctly?,There must be enough frames for all pages an instruction can reference.,y
What is the minimum number of frames required for a single memory-reference instruction?,Two frames: one for the instruction itself and one for the memory reference.,y
What is the minimum number of frames required per process for one-level indirect addressing?,At least three frames.,y
What determines the minimum number of frames required for a process?,The computer architecture.,y
"For a 'move' instruction straddling two frames with two indirect operands, how many frames might be required?",Six frames.,y
How do Intel architectures typically limit the minimum number of frames needed?,"They only allow register-to-register or memory operations, which can limit the minimum frames required for an instruction.",y
What defines the maximum number of frames a process can be allocated?,The total available physical memory.,y
What is 'equal allocation' in the context of virtual memory frame management?,Assigns equal amounts of a resource (page frames) to all requestors (processes).,y
