Front,Back,Reversible
How does swap space I/O generally compare to file system I/O?,Swap space I/O is generally faster than file system I/O because it typically uses larger blocks and avoids file lookups.,y
Describe one strategy for swap space usage where the entire file image is copied.,"The entire file image is copied to swap space at startup, and then pages are demand-paged from this swap space. (Disadvantage: initial copy time).",y
Describe a common swap space usage strategy used by Linux and Windows.,"Pages are initially demand-paged directly from the file system, but if they are modified and later replaced, they are written to swap space.",y
How do Linux and BSD UNIX handle demand paging for binary executables?,"They demand-page binary executables directly from the file system. If frames holding these pages are replaced, they are simply overwritten (as they are never modified), with the file system acting as the backing store.",y
"What type of memory still typically uses swap space, regardless of the executable paging strategy?",Anonymous memory (such as stack and heap).,y
How do mobile operating systems like iOS typically handle memory and swapping?,"They typically do not use swapping. Instead, they demand-page from the file system and reclaim read-only pages if memory becomes constrained.",y
"How are anonymous memory pages handled in mobile OS like iOS, given they typically don't swap?",They are not reclaimed unless the application is terminated or explicitly releases the memory.,y
What is an alternative to swapping in mobile systems?,Compressed memory.,y
Define 'demand paging'.,Bringing in pages from storage as needed rather than entirely at process load time.,y
Define 'page fault'.,A fault that occurs when a reference is made to a non-memory-resident page.,y
Define 'pure demand paging'.,A specific type of demand paging where no page is brought into memory until it is referenced.,y
Define 'locality of reference'.,The tendency of processes to reference memory in predictable patterns rather than randomly.,y
Define 'swap space'.,The secondary storage backing-store space used for memory pages that have been paged out of physical memory.,y
Define 'free-frame list'.,A kernel-maintained list of available free physical memory frames.,y
Define 'zero-fill-on-demand'.,"The process of writing zeros into a page before making it available to a process, typically for security reasons.",y
Define 'effective access time'.,"The measured or calculated time required to access a resource, such as memory.",y
Define 'page-fault rate'.,A measure of how often a page fault occurs per memory access attempt.,y
Define 'anonymous memory'.,"Memory that is not associated with a file; if it becomes dirty and needs to be paged out, it is stored in swap space.",y
