What is the primary role of an operating system (OS) as described in the text?,To manage hardware sales and distribution.,To provide an environment for program execution.,To write application software for users.,To design computer hardware components.,"To exclusively run a single, dedicated application.",B,The text states: 'An operating system (OS) provides the environment for program execution.'
"In the context of resource allocation, what mechanism does the operating system use to manage the allocation of resources like CPU cycles and memory?",Direct hardware manipulation,User authentication protocols,Scheduling routines,Message passing,File permissions,C,The text states that 'Resource allocation' uses 'scheduling routines' to manage allocations.
Which operating system function tracks resource usage for accounting or accumulating statistics to improve computing services?,Program execution,Logging,File-system manipulation,I/O operations,Error detection,B,'Logging' is described as tracking resource usage for accounting or accumulating statistics.
The primary goal of the 'Logging' function in an operating system is to:,Encrypt sensitive user data.,Track resource usage for accounting or to improve services.,Provide real-time error corrections.,Facilitate inter-process communication.,Manage graphical user interface elements.,B,The text specifies that 'Logging' tracks resource usage 'for accounting or accumulating statistics to improve computing services'.
"Controlling access to system resources and defending against external/internal attacks (e.g., viruses, DoS) are responsibilities of which operating system function?",Resource allocation,Logging,Protection and security,Communications,Error detection,C,'Protection and security' is defined as controlling access and defending against attacks.
Which of the following are mentioned as requirements or safeguards for the 'Protection and security' operating system function?,Extensive program execution logging and continuous hardware diagnostics.,Strict scheduling routines and efficient file compression.,User authentication and safeguards for I/O devices.,Automated system updates and cloud backups.,Frequent software reinstallation and manual configuration.,C,The text states that 'Protection and security' 'Requires user authentication and safeguards for I/O devices'.
What is the definition of a 'user interface (UI)'?,A physical component of the computer's hardware.,A method by which a user interacts with a computer.,A database for storing user preferences.,A type of network protocol.,A software utility for debugging applications.,B,The glossary defines 'user interface (UI)' as 'A method by which a user interacts with a computer.'
"According to the glossary, a 'graphical user interface (GUI)' comprises which of the following?",Only a text input device and command prompts.,"A window system with a pointing device, menus, selections, and usually a keyboard.",Direct physical manipulation of internal computer components.,A system solely based on voice commands.,Network protocols for remote access.,B,"The glossary defines 'graphical user interface (GUI)' as 'A computer interface comprising a window system with a pointing device to direct I/O, choose from menus, and make selections and and, usually, a keyboard to enter text.'"
How does a 'touch-screen interface' enable user interaction with a computer?,By receiving spoken commands.,By tracking eye movements.,By using a pointing device like a mouse.,By touching a screen.,By typing commands on a keyboard.,D,The glossary defines 'touch-screen interface' as 'A user interface in which touching a screen allows the user to interact with the computer.'
Which of the following best describes a 'command-line interface (CLI)'?,An interface that relies solely on visual icons.,A method of giving commands to a computer based on a text input device.,A system that uses gestures for input.,An interface that requires no user input.,A hardware component for network communication.,B,The glossary defines 'command-line interface (CLI)' as 'A method of giving commands to a computer based on a text input device (such as a keyboard).'
"In the context of interprocess communication (IPC), what is 'shared memory'?",A physical disk drive accessible by multiple users.,A network protocol for data transfer between remote computers.,A section of memory shared by multiple processes and used for message passing.,A temporary storage area for CPU instructions.,A dedicated memory region for storing operating system kernel code.,C,"The glossary defines 'shared memory' as 'In interprocess communication, a section of memory shared by multiple processes and used for message passing.'"
Which description accurately defines 'message passing' in interprocess communication?,A method where processes directly access each other's private memory.,"A method of sharing data in which messages are sent and received by processes, often as packets of information in predefined formats.",A technique for allocating CPU time slices to different processes.,A mechanism for detecting and correcting hardware errors.,A security protocol for encrypting network traffic.,B,"The glossary defines 'message passing' as 'In interprocess communication, a method of sharing data in which messages are sent and received by processes. Packets of information in predefined formats are moved between processes or between computers.'"
Which of the following operating system functions is primarily designed to ensure efficient system operation by sharing computer resources among multiple processes?,User interface,Program execution,Communications,Resource allocation,Error detection,D,"The text categorizes 'Resource allocation', 'Logging', and 'Protection and security' as 'OS functions ensuring efficient system operation by sharing computer resources among multiple processes'. Among the given options, 'Resource allocation' fits this description."
What is the primary activity involved in 'debugging' a system?,Finding and fixing errors (bugs) in hardware and software.,Optimizing network configurations for faster data transfer.,Designing new hardware components for improved performance.,Managing user accounts and permissions within the operating system.,Performing routine data backups and system restores.,A,"The text defines 'debugging' as 'the activity of finding and fixing errors (bugs) in a system, including hardware and software.'"
"Beyond finding and fixing errors, what other activity can debugging involve according to the text?",Developing new programming languages.,Performance tuning to remove processing bottlenecks.,Creating graphical user interfaces.,Installing operating system updates.,Migrating data between different storage devices.,B,The text states that debugging 'can also involve performance tuning to remove processing bottlenecks.'
"When a process fails, what is one of the typical actions an operating system performs regarding error information?",It immediately restarts the faulty process without logging.,It displays a full-screen error message to the user.,It writes error information to a log file.,It attempts to debug the process in real-time by itself.,It sends a notification to the system administrator's email.,C,"The text states that when a process fails, operating systems typically 'Write error information to a log file'."
What is a 'core dump' in the context of a process failure?,A compressed archive of the process's executable files.,A capture of the process's memory for later analysis.,A log of all network connections made by the process.,A temporary file used for inter-process communication.,A list of all system calls invoked by the process prior to failure.,B,The text defines a core dump as 'a capture of the process's memory' created for later analysis.
How do debuggers typically utilize core dumps and running programs for analysis?,They convert them into a different operating system's format.,They delete them to free up system resources.,They can probe them to analyze the system's state.,They use them to automatically repair the faulty code.,They encrypt them for secure storage.,C,"The text states, 'Debuggers can then probe running programs and core dumps.'"
What specific term is used to describe a kernel failure?,A deadlock.,A freeze.,A crash.,A hang.,A slowdown.,C,"The text explicitly states, 'A kernel failure is a crash.'"
"During a kernel failure, what is specifically saved to a 'crash dump'?",The user's currently open documents.,The state of all connected peripheral devices.,The memory state of the kernel.,A backup of the entire file system.,The network configuration settings.,C,"The text indicates that during a kernel failure, 'memory state [is saved] to a crash dump', and the glossary defines 'crash dump' as 'A copy of the state of the kernel written to disk during a crash.'"
"To ensure data integrity during a kernel crash, where is kernel memory state often saved?",To a user-accessible network share.,To the `/tmp` directory within the file system.,To a dedicated disk section without a file system.,Directly into a cloud storage service.,To an encrypted partition accessible only by the root user.,C,"The text specifies, 'Kernel memory state is often saved to a dedicated disk section without a file system to ensure data integrity during a crash.'"
Which of the following is NOT cited as a reason for the complexity of kernel debugging?,Its large size.,Its control of hardware.,Its lack of user-level tools.,Its dependency on external cloud services.,The nature of a crash itself.,D,"The text lists kernel's 'size, control of hardware, and lack of user-level tools' as factors making kernel debugging more complex. Dependency on external cloud services is not mentioned."
What is the primary goal of 'performance tuning'?,To simplify the user interface of the operating system.,To improve system efficiency by removing bottlenecks.,To enhance the graphical capabilities of the system.,To reduce the overall power consumption of the hardware.,To implement new security protocols for data encryption.,B,"The text states, 'Performance tuning aims to improve system efficiency by removing bottlenecks.' The glossary also defines it as 'The activity of improving performance by removing bottlenecks.'"
What two main methods are mentioned for monitoring system behavior during performance tuning?,Encryption and Decryption.,Compilation and Linking.,Counters and Tracing.,Installation and Uninstallation.,Virtualization and Containerization.,C,"The text states that performance tuning 'requires monitoring system behavior, using either counters or tracing.'"
What kind of activities do operating systems track via 'counters'?,Only the number of user login attempts.,"Activity such as system calls, network, and disk operations.",The frequency of software updates.,The number of opened graphical windows.,The integrity of system files.,B,"The text states, 'Operating systems track activity via counters (e.g., system calls, network/disk operations).'"
Which of the following Linux tools reports real-time statistics for current processes?,`vmstat`,`netstat`,`top`,`iostat`,`strace`,C,The text lists `top` under 'Per-process Linux tools' and describes it as reporting 'real-time statistics for current processes.'
Which system-wide Linux tool is primarily used to report memory-usage statistics?,`ps`,`top`,`vmstat`,`netstat`,`iostat`,C,The text lists `vmstat` under 'System-wide Linux tools' as reporting 'memory-usage statistics.'
"To report disk I/O usage statistics on Linux, which tool would be most appropriate according to the text?",`ps`,`top`,`vmstat`,`netstat`,`iostat`,E,The text lists `iostat` under 'System-wide Linux tools' as reporting 'disk I/O usage.'
From where do most Linux counter tools read their statistics?,Directly from the system's hard drive controller.,From the `/etc` configuration files.,From the `/proc` pseudo file system (kernel memory).,From the `/var/log` directory.,From a remote monitoring server.,C,"The text states, 'Most Linux counter tools read statistics from the `/proc` pseudo file system (kernel memory).'"
"What Windows tool provides information on applications, processes, CPU/memory usage, and networking statistics?",Command Prompt.,Registry Editor.,Windows Task Manager.,Device Manager.,Event Viewer.,C,"The text explicitly states, 'Windows: Windows Task Manager provides information on applications, processes, CPU/memory usage, and networking statistics.'"
What type of data do 'tracing' tools primarily collect?,General system-wide summary reports.,"Data for specific events, such as system-call invocation steps.",Historical records of user login sessions.,Static configuration settings of the operating system.,Network topology maps.,B,"The text states, 'Tracing tools collect data for specific events (e.g., system-call invocation steps).'"
Which per-process Linux tool is specifically designed to trace system calls invoked by a process?,`perf`,`tcpdump`,`strace`,`gdb`,`top`,C,The text lists `strace` under 'Per-process Linux tools' as tracing 'system calls invoked by a process.'
Which of the following is identified as a source-level debugger among the per-process Linux tracing tools?,`strace`,`gdb`,`perf`,`tcpdump`,`ps`,B,The text lists `gdb` under 'Per-process Linux tools' as 'A source-level debugger.'
"To collect network packets on Linux, which system-wide tracing tool is mentioned?",`perf`,`tcpdump`,`strace`,`vmstat`,`iostat`,B,The text lists `tcpdump` under 'System-wide Linux tools' as collecting 'network packets.'
What is BCC (BPF Compiler Collection)?,A new Linux file system.,A toolkit for dynamic kernel tracing in Linux.,A network security protocol.,A compiler for C++ applications.,A cloud-based storage service.,B,"The text defines BCC as 'A rich toolkit for tracing system activity on Linux for debugging and performance-tuning' and 'a toolkit for dynamic kernel tracing in Linux, providing a dynamic, secure, low-impact debugging environment.'"
BCC serves as a front-end interface to which specific Linux tool or technology?,`gdb`,`strace`,eBPF (extended Berkeley Packet Filter).,`perf`,`tcpdump`,C,The text states BCC's functionality is 'Front-end interface to eBPF (extended Berkeley Packet Filter) tool.'
"In what language are eBPF programs written, according to the text?",Python.,Java.,A subset of C.,Go.,Assembly.,C,"The text states, 'eBPF: Programs written in a subset of C, compiled into eBPF instructions...'"
What is the primary role of the eBPF Verifier?,To encrypt eBPF instructions for security.,To convert eBPF instructions into a higher-level language.,To optimize eBPF code for maximum performance.,To check eBPF instructions for system performance/security impact before insertion.,To log all execution steps of an eBPF program.,D,"The text states, 'Verifier: Checks eBPF instructions for system performance/security impact before insertion.'"
"BCC tools are primarily written in what language, and how do they incorporate eBPF instrumentation?","C++, embedding Assembly code.","Java, embedding Python code.","Python, embedding C code.","Ruby, embedding Shell scripts.","Go, embedding Rust.",C,"The text says, 'BCC tools: Written in Python, embedding C code for eBPF instrumentation.'"
What specific activity does the `disksnoop.py` BCC example tool trace?,Network packet flow.,CPU utilization.,Disk I/O activity.,Memory allocation.,System call failures.,C,"The text provides the example: '`disksnoop.py` traces disk I/O activity (timestamp, R/W, bytes, latency).'"
What significant advantage does BCC offer when used on live production systems?,It requires a full system reboot after use.,It causes significant and noticeable performance degradation.,It permanently alters the kernel's behavior.,"It can be used without harm, allowing identification of bottlenecks or security exploits.","It necessitates specialized, expensive hardware.",D,"The text highlights BCC's power: 'Can be used on live production systems without harm, useful for system administrators to identify bottlenecks or security exploits.'"
"In computing, what does the term 'bottleneck' refer to?",A physical connection point for network cables.,A specific type of software license.,A performance-limiting aspect of computing.,A dedicated storage area for temporary files.,A critical security patch release.,C,The glossary defines 'bottleneck' as 'A performance-limiting aspect of computing.'
What is a 'crash' in the context of operating systems?,A scheduled system shutdown for maintenance.,A successful and complete software update.,Termination of execution due to a problem (kernel or process).,A routine diagnostic check of hardware components.,A deliberate user action to stop a program's execution.,C,The glossary defines 'crash' as 'Termination of execution due to a problem (kernel or process).'
What is the primary content of a 'log file' as defined in the glossary?,The source code of an application.,Encrypted user data for security purposes.,Error or 'logging' information.,System configuration settings.,Application executable binaries.,C,"The glossary defines 'log file' as 'A file containing error or ""logging"" information.'"
What is the primary role of an operating system concerning program execution?,To directly compile source code into executable files.,To debug programs and fix errors.,To provide an environment for the execution of programs.,To translate high-level programming languages into machine code.,To design and develop new software applications.,C,An operating system's fundamental role is to provide an environment where programs can be executed and to offer services to both users and programs.
Which of the following is NOT listed as a primary approach for interacting with an operating system?,Command interpreters,Graphical user interfaces (GUIs),Touch-screen interfaces,Direct hardware manipulation,All of the above are listed approaches.,D,"The text lists command interpreters, graphical user interfaces, and touch-screen interfaces as the three primary interaction approaches. Direct hardware manipulation is not mentioned as a primary interaction approach for users."
What do system calls provide to programmers for accessing operating system services?,A direct memory address to the kernel,A compiler for high-level languages,An application programming interface (API),A debugging tool,A network protocol for communication,C,Programmers use a system call's application programming interface (API) to access the services made available by an operating system.
Which of the following is one of the six major categories into which system calls can be divided?,Data encryption,Network routing,Process control,Database management,User authentication,C,"The text lists process control, file management, device management, information maintenance, communications, and protection as the six major categories of system calls."
"In UNIX and Linux systems, which library typically provides the system-call interface?",The standard Java library,The Python standard library,The standard C library,The Windows API library,The network library (NetLib),C,The standard C library provides the system-call interface for UNIX and Linux systems.
What is the function of a linker in the process of program execution?,It converts source code into object modules.,It loads an executable file into memory.,It combines several relocatable object modules into a single binary executable file.,It executes the program on an available CPU.,It monitors system performance using counters.,C,A linker's role is to combine several relocatable object modules into a single binary executable file.
"After a linker creates an executable file, what component is responsible for loading it into memory for execution?",The compiler,The debugger,The loader,The boot loader,The application programming interface (API),C,"A loader loads the executable file into memory, where it becomes eligible to run on an available CPU."
Which of the following is a reason why applications are often operating-system specific?,Varying CPU clock speeds,Different binary formats for program executables,User preference for interface design,Different network protocols,Availability of open-source software,B,"The text states that different binary formats for program executables, different instruction sets for different CPUs, and system calls that vary from one operating system to another are reasons for OS-specific applications."
"In operating system design, what do the system's goals ultimately determine?",The specific hardware requirements,The programming languages used for development,The operating system's policies,The number of users it can support simultaneously,The market price of the software,C,"An operating system is designed with specific goals in mind, and these goals ultimately determine the operating system's policies."
What is a characteristic feature of a monolithic operating system?,It is divided into a number of discrete layers.,Most services run as user-level applications.,"All functionality is provided in a single, static binary file that runs in a single address space.",Services are provided through modules that can be loaded and removed during run time.,It primarily uses message passing for communication between services.,C,"A monolithic operating system has no structure; all functionality is provided in a single, static binary file that runs in a single address space."
"What is the primary benefit of a monolithic operating system, despite its difficulty to modify?",Enhanced security features,Ease of development,Higher efficiency,Improved portability,Greater flexibility in design,C,"Although monolithic systems are difficult to modify, their primary benefit is efficiency."
Why is the layered approach generally not ideal for designing operating systems?,Due to excessive complexity in design.,Because of limitations in hardware capabilities.,Due to performance problems.,It requires specialized programming languages.,It lacks proper user interface support.,C,"Although layered software systems have had some success, this approach is generally not ideal for designing operating systems due to performance problems."
"In a microkernel approach to operating system design, where do most services typically run?",Directly on the hardware as firmware.,Within the kernel's address space.,As user-level applications.,On a dedicated coprocessor.,As part of the boot loader.,C,The microkernel approach uses a minimal kernel; most services run as user-level applications.
How does communication primarily take place between services in a microkernel operating system?,Through shared memory regions.,Via direct function calls to the kernel.,Through message passing.,By manipulating global variables.,Using hardware interrupts.,C,"In a microkernel system, communication takes place via message passing."
What characteristic defines a modular approach to operating system design?,All functionality is compiled into a single static binary.,Services are provided through modules that can be loaded and removed during run time.,It divides the OS into strictly defined layers.,It relies solely on user-level applications for all services.,It uses a client-server architecture exclusively.,B,A modular approach provides operating-system services through modules that can be loaded and removed during run time.
What term describes contemporary operating systems that combine a monolithic kernel with loadable modules?,Pure microkernels,Strict layered systems,Embedded systems,Hybrid systems,Distributed systems,D,Many contemporary operating systems are constructed as hybrid systems using a combination of a monolithic kernel and modules.
What is the function of a boot loader?,To compile source code into an executable file.,To manage inter-process communication.,"To load an operating system into memory, perform initialization, and begin system execution.",To provide a graphical user interface for interaction.,To perform routine system backups.,C,"A boot loader loads an operating system into memory, performs initialization, and begins system execution."
Which of the following methods is used for monitoring the performance of an operating system?,Binary recompilation,Runtime code analysis for errors,Counters,Hardware diagnostics on boot-up only,Virtualization of the entire system,C,The performance of an operating system can be monitored using either counters or tracing.
What is 'tracing' in the context of operating system performance monitoring?,Collecting system-wide or per-process statistics.,Following the execution of a program through the operating system.,Generating graphical representations of system load.,Identifying malicious software activity.,Optimizing memory allocation in real-time.,B,"Tracing follows the execution of a program through the operating system, whereas counters are a collection of system-wide or per-process statistics."
Which of the following are the fundamental approaches through which users interface with an operating system?,"Command-line interface (CLI), Graphical user interface (GUI), and Network interface.","Command-line interface (CLI), two forms of Graphical user interface (GUI), and Touch-screen interface.",Graphical user interface (GUI) and Touch-screen interface only.,"Command interpreter, system programs, and shell scripts.","Desktop metaphor, icons, and gestures.",B,"The text states users interface with the OS via three fundamental approaches: command-line interface (CLI) or command interpreter, and two forms of graphical user interface (GUI). The touch-screen interface is presented as a distinct form of GUI for mobile devices."
"How do most operating systems, such as Linux, UNIX, and Windows, typically treat the command interpreter?",As a hardware component for direct CPU instruction.,As a core part of the operating system kernel that cannot be changed.,As a special program run at process initiation or user login.,As an optional add-on that users must install separately.,As a utility primarily used for system diagnostics only.,C,"The text states: 'Most OS (Linux, UNIX, Windows) treat the command interpreter as a special program run at process initiation or user login.'"
"What is the term for systems that offer multiple command interpreters, such as C shell, Bourne-Again shell, and Korn shell on UNIX/Linux?",Kernels,Shells,Executors,GUIs,Terminals,B,The text defines 'shells' as 'Systems with multiple command interpreters'.
What is the primary function of command interpreters or shells?,To manage hardware resources and allocate memory.,"To get and execute user commands, often manipulating files.",To display graphical elements on the screen.,To compile source code into executable programs.,To encrypt user data for security purposes.,B,"The text states: 'Main function: get and execute user commands, often manipulating files (create, delete, list, print, copy, execute).'"
Which of the following describes a common way operating system commands are implemented that allows for easy addition of new commands without changing the interpreter?,"The interpreter contains the execution code directly, increasing its size.",Commands are hard-coded into the operating system kernel.,"Most commands are separate system programs (e.g., UNIX `rm` program).",Commands are executed directly by the CPU without software intervention.,Commands are exclusively managed by the graphical user interface.,C,"The text explains that 'Most commands are separate system programs (e.g., UNIX `rm file.txt` executes the `rm` program). Allows easy addition of new commands without changing the interpreter.'"
The Graphical User Interface (GUI) typically utilizes which metaphor for user interaction?,A command-line prompt metaphor.,A server-client metaphor.,A desktop metaphor with mouse-based window-and-menu systems.,A gesture-based touch metaphor.,A network topology metaphor.,C,The text states: 'Users interact with a mouse-based window-and-menu system using a desktop metaphor.'
"Which entity is credited with the origin of the Graphical User Interface (GUI) in 1973 with the Xerox Alto, which later became widespread with Apple Macintosh in the 1980s?",Microsoft,IBM,Bell Labs,Xerox PARC,MIT,D,"The text mentions: 'GUIs originated from Xerox PARC (1973, Xerox Alto) and became widespread with Apple Macintosh (1980s).'"
What is the name of the touch-screen interface typically used by Apple iPhone/iPad devices?,Aqua,Springboard,KDE,GNOME,Windows Mobile,B,The text specifies: 'Apple iPhone/iPad use the Springboard touch-screen interface.'
"Who among the following typically prefers the Command-Line Interface (CLI) for efficiency and faster access, especially for repetitive tasks via shell scripts?",Casual home users,Office workers using productivity software,System administrators and power users,Users of mobile devices like smartphones and tablets,Graphic designers and video editors,C,"The text states: 'System administrators and power users prefer CLI for efficiency and faster access, especially for repetitive tasks via shell scripts.'"
Which of the following statements about the user interface's relationship with the core OS structure is accurate?,The user interface is an integral and inseparable part of the core OS structure.,The user interface often determines the functionality of the core OS.,The user interface is typically separate from the core OS structure.,The core OS structure is designed around the specific user interface.,Only command-line interfaces are separate from the core OS; GUIs are integrated.,C,The text explicitly states: 'The user interface is typically separate from the core OS structure'.
What does the term 'command interpreter' refer to in the context of operating systems?,A hardware component that translates machine code.,An OS component responsible for interpreting user commands.,A network protocol for command transmission.,A specialized compiler for programming languages.,A device driver for input/output operations.,B,The glossary defines 'command interpreter' as 'OS component interpreting user commands.'
"In a Graphical User Interface (GUI), what are 'icons' used to represent?",Hardware components within the computer.,Network connections and data packets.,"Images representing programs, files, and functions.",Hidden system processes running in the background.,Memory addresses and CPU registers.,C,"The text states: 'Icons represent programs, files, and functions; clicking them or selecting from menus invokes actions.' The glossary also defines 'icons' as 'Images representing objects in GUI.'"
What is a 'shell script'?,A program used to create graphical user interfaces.,A file containing a series of commands for a specific shell.,A security protocol for authenticating users.,A type of hardware interface for external devices.,A data structure used by the operating system kernel.,B,The glossary defines 'shell script' as 'File containing a series of commands for a specific shell.'
What is the role of 'gestures' in user interaction with an operating system?,To create new system files programmatically.,To configure network settings and protocols.,"Motions causing computer actions, typically on touch-screen interfaces.",To manage virtual memory and swap space.,To perform low-level hardware diagnostics.,C,"The text mentions 'Users interact via gestures (e.g., pressing, swiping)' on touch-screen interfaces. The glossary defines 'gestures' as 'Motions causing computer actions (e.g., ""pinching"").'"
"Which term describes users who configure, monitor, and manage systems, often preferring CLI for their tasks?",Casual users,Software developers,System administrators,End-users,Data entry clerks,C,"The glossary defines 'system administrators' as 'Users who configure, monitor, and manage systems.' The text also notes they prefer CLI."
"Which operating system first added a Graphical User Interface (GUI) to MS-DOS with its Version 1.0, and later versions enhanced its functionality?",Apple Macintosh,UNIX,Linux,Microsoft Windows,Xerox Alto,D,"The text states: 'Microsoft Windows (Version 1.0) added a GUI to MS-DOS, with later versions enhancing functionality.'"
What is a 'desktop' in the context of a Graphical User Interface (GUI)?,A physical computer hardware component.,A GUI workspace presented on the screen.,A network file sharing protocol.,A database management system.,A programming language compiler.,B,The glossary defines 'desktop' as 'GUI workspace on screen.' The text also mentions the 'desktop metaphor' used by GUIs.
What primary function do system calls provide to programs?,They manage hardware interrupts directly without OS intervention.,They offer an interface to operating system services.,They compile C/C++ code into executable binaries.,They synchronize data between different user applications.,They provide a direct pathway for inter-process communication without kernel involvement.,B,"System calls provide an interface to OS services, typically as C/C++ functions, sometimes assembly."
Which of the following statements about the use of system calls is most accurate?,"Only complex, system-level programs utilize system calls extensively.",Simple programs like a file copy utility make minimal use of system calls.,"Even simple programs (e.g., file copy) make extensive use of system calls.",System calls are primarily used for graphical user interface (GUI) operations.,Application developers always use direct system calls rather than APIs.,C,"Even simple programs (e.g., file copy) make extensive use of system calls."
"When copying a file (e.g., `cp in.txt out.txt`), which of the following error handling scenarios is NOT typically associated with the looping read/write phase?",Handling End-Of-File (EOF) condition.,Responding to hardware failure during data transfer.,Managing insufficient disk space on the output device.,Obtaining the file names from the command line.,Detecting issues with writing to the output file.,D,"Obtaining file names (command line, user input, GUI) is part of the initial setup, not the looping read/write phase's error handling."
"What is the primary role of an Application Programming Interface (API) in software development, concerning operating system interaction?",To allow programmers to bypass the operating system kernel entirely.,To directly translate high-level language into machine code.,"To provide a set of functions and tools for programmers to use, abstracting direct system calls.",To manage hardware resources without requiring operating system services.,To perform debugging and error correction in compiled programs.,C,"Application developers typically use an API rather than direct system calls, which specifies functions, parameters, and return values."
Which of the following is a key benefit of using Application Programming Interfaces (APIs) for application development?,It eliminates the need for any form of operating system interaction.,It forces developers to understand the intricate details of kernel implementation.,"It enhances portability, allowing programs to run on any system supporting the same API.",It guarantees faster execution speeds than direct system calls.,It limits programs to a single operating system platform for security reasons.,C,One of the benefits of using APIs is portability: Programs can run on any system supporting the same API.
How do API functions typically interact with actual system calls in the operating system?,API functions execute directly in user space without kernel involvement.,API functions are entirely separate from system calls and serve different purposes.,API functions invoke actual system calls in the kernel.,"System calls are invoked directly by the programmer, bypassing API functions.","API functions only manage network communications, not OS services.",C,"API functions invoke actual system calls in the kernel (e.g., `CreateProcess()` calls `NTCreateProcess()`)."
What is the role of the 'run-time environment' (RTE) in the context of system calls and APIs?,It exclusively manages memory allocation for applications.,It compiles source code into executable programs.,It provides a system-call interface that links API calls to OS system calls.,It is a hardware component responsible for CPU scheduling.,It is a network protocol for client-server communication.,C,The run-time environment (RTE) provides a system-call interface that links API calls to OS system calls.
How does the system-call interface typically invoke the correct kernel function when an API call is made?,By searching a directory of all available kernel functions by name.,By directly referencing a memory address predefined for each function.,It uses a table indexed by system call numbers.,Through a complex series of network requests to a central server.,By user input at the command line for each invocation.,C,The system-call interface uses a table indexed by system call numbers to invoke the correct kernel function.
Which method is NOT typically used to pass parameters to system calls?,Registers,Memory blocks,A stack using push and pop operations,Directly embedding parameters in the compiled machine code of the system call itself,All of the above are typical methods.,D,"Parameters to system calls can be passed via registers, memory blocks, or a stack (using push and pop operations). Embedding them in compiled machine code is not a typical dynamic parameter passing method."
"In the context of system calls, what does 'push' refer to?",The action of forcefully terminating a process.,The action of placing a value on a stack data structure.,The process of moving data from the kernel to user space.,The mechanism for initiating a hardware interrupt.,The command to increase the priority of a system call.,B,Push is defined as 'The action of placing a value on a stack data structure.'
What characteristic defines a 'stack' data structure?,It is an unordered collection of items.,"It uses the first-in, first-out (FIFO) principle.",It allows random access to any item within it.,"It is a sequentially ordered data structure that uses the last-in, first-out (LIFO) principle.",It is primarily used for distributed network communication.,D,"A stack is 'A sequentially ordered data structure that uses the last-in, first-out (LIFO) principle for adding and removing items; the last item placed onto a stack is the first item removed.'"
"Which category of system calls includes operations like `create_process()`, `fork()`, and `terminate_process()`?",File management,Device management,Process control,Information maintenance,Communications,C,"Process control system calls include creating new processes, controlling process attributes, and terminating processes."
What is the purpose of a 'debugger' system program?,To optimize program execution speed.,To encrypt sensitive data for security.,To aid programmers in finding and correcting errors.,To manage network connections and protocols.,To automatically generate executable code from source files.,C,A debugger is 'A system program designed to aid programmers in finding and correcting errors.'
"In the context of process control system calls, what is the function of a 'lock'?",To permanently prevent a process from executing.,To secure network connections from unauthorized access.,To restrict access by processes or subroutines to ensure integrity of shared data.,To encrypt file contents on a disk.,To set the execution priority of a process.,C,A lock is 'A mechanism that restricts access by processes or subroutines to ensure integrity of shared data.'
An Arduino program is specifically referred to as a(n):,Module,Daemon,Sketch,Binary,Script,C,"Arduino (single-tasking, sketch, boot loader) is given as an example for process control, and 'sketch' is defined as 'An Arduino program'."
