"According to the text, what are the two main jobs of a computer?",Processing and networking,Input and output,I/O and computing,Storage and display,User interaction and security,C,The text explicitly states that a computer's main jobs are 'I/O and computing'.
What uniform interface do device drivers provide to the I/O subsystem?,A programming language interface.,A physical connection interface.,A device-access interface.,A network protocol interface.,A graphical user interface.,C,"The text clarifies that 'Device drivers provide uniform device-access interface to I/O subsystem, similar to system calls for applications'."
"What is the definition of a ""device driver"" as provided in the glossary?",A hardware component that physically controls a device.,A software application used for device troubleshooting.,An OS component providing uniform access and managing I/O to various devices.,A protocol for device-to-device communication.,A utility for measuring device performance.,C,The glossary explicitly defines 'device driver' as 'OS component providing uniform access and managing I/O to various devices'.
"Which specific mechanism is mentioned as a topic covered, involving dynamic driver code pipelines?",Windows Plug and Play,Linux Kernel Modules,UNIX System V STREAMS,macOS I/O Kit,Android Hardware Abstraction Layer,C,The text lists 'UNIX System V STREAMS mechanism: dynamic driver code pipelines' as a covered topic.
"In the context of computer hardware, what is a 'port'?",A type of internal memory for fast data access.,A software interface for network communication protocols.,A connection point for devices to attach to computers.,A specialized processing unit within the CPU.,A temporary storage area for system logs.,C,The text defines a 'port' as a 'Connection point for devices to attach to computers'.
Which statement best describes a 'bus' in computer systems?,A software program that manages device drivers.,A protocol for network communication over wireless links.,"A communication system connecting computer components (CPU, I/O devices) for data and command transfer.",A specific type of input device like a scanner.,A method for cooling internal computer components.,C,"The text defines a 'bus' as a 'Communication system connecting computer components (CPU, I/O devices) for data/command transfer' and a 'set of wires, rigidly defined protocol'."
What is a 'daisy chain' in the context of device communication?,A secure encryption method for data transfer.,"Devices connected in a string (A to B, B to C), usually operating as a bus.",A network topology where all devices connect to a central hub.,A method for distributing power to multiple peripheral devices.,A series of parallel data lines for high-speed transfers.,B,"The text defines 'daisy chain' as 'devices connected in string (A to B, B to C), usually operates as a bus'."
Which bus type typically connects the processor-memory subsystem to fast devices in a PC bus structure?,Expansion bus,USB bus,Serial-attached SCSI (SAS) bus,PCIe bus,Parallel ATA (PATA) bus,D,The text states 'PCIe bus: connects processor-memory subsystem to fast devices'.
"In a typical PC bus structure, what is the primary function of the 'expansion bus'?",Connecting high-speed graphics cards directly to the CPU.,Providing direct access to main memory for the processor.,"Connecting slow devices such as keyboards, serial ports, and USB ports.",Managing network traffic between the computer and external networks.,Interfacing with external storage arrays in a data center.,C,"The text specifies the 'Expansion bus' 'connects slow devices (keyboard, serial, USB ports)'."
"In PCIe technology, what does a 'lane' consist of?",A single wire for unidirectional data flow.,Two signaling pairs (receive/transmit) enabling a full-duplex byte stream.,A shared channel for multiple devices to transmit data sequentially.,A dedicated power line for peripheral components.,A software-defined pathway for data packets.,B,"The text states a 'Lane: two signaling pairs (receive/transmit), full-duplex byte stream'."
"According to the text, what does 'PCIe gen3 x8' signify about the bus's capabilities?","It is the 3rd generation of PCIe, operating at 8 MB/s throughput.","It is the 3rd generation of PCIe, utilizing 8 lanes for a total throughput of 8 GB/s.","It is the 3rd generation of PCIe, with an 8-bit data packet format.","It is the 3rd generation of PCIe, offering 8 Gigabits per second per lane.","It is the 3rd generation of PCIe, with a maximum of 8 physical links.",B,"The text provides the example 'PCIe gen3 x8: 8 GB/s throughput', indicating 'x8' refers to 8 lanes."
What is a 'controller' in the context of I/O hardware?,A software driver that manages device operations.,"An electronic component that operates a port, bus, or device.",A physical cable connecting two devices in a daisy chain.,A memory unit used for buffering I/O data temporarily.,A diagnostic tool for identifying I/O hardware faults.,B,"The text defines 'Controller' as 'electronics operating a port, bus, or device'."
What is a 'host bus adapter (HBA)' primarily used for?,Boosting network signal strength for wireless devices.,Connecting a CPU directly to high-speed memory modules.,Acting as a complex device controller installed in a host bus port for device connection.,Regulating power supply to internal computer components.,Optimizing CPU scheduling for I/O-bound tasks.,C,"The text describes an HBA as a 'Device controller installed in host bus port for device connection', often complex like a Fibre Channel bus controller."
Which of the following tasks is specifically mentioned as being implemented by a disk controller?,Managing operating system boot processes.,Implementing network routing protocols for internet access.,"Bad-sector mapping, prefetching, buffering, and caching.",Allocating CPU time to various user applications.,Translating virtual memory addresses to physical addresses.,C,"The text states, 'Disk controller: implements disk-side protocol (SAS, SATA), microcode, processor for tasks (bad-sector mapping, prefetching, buffering, caching)'."
What is 'memory-mapped I/O'?,A technique where I/O devices have their own dedicated processor cores.,A method where device-control registers are mapped into the processor's address space.,A system where all I/O operations are handled exclusively by special I/O instructions.,A type of memory optimized solely for I/O operations.,A process of caching I/O data in dedicated buffer memory.,B,The text defines 'memory-mapped I/O' as a 'Device I/O method where device-control registers map into processor address space'.
"What is a key advantage of 'memory-mapped I/O', especially for tasks like updating graphics memory?",It reduces the complexity of device driver development.,"It allows the CPU to use standard data-transfer instructions, making large transfers faster.",It provides better security by isolating I/O devices from main memory.,It eliminates the need for any dedicated I/O controllers.,It guarantees real-time performance for all I/O operations.,B,The text notes that 'CPU uses standard data-transfer instructions to read/write registers at mapped locations' and 'Writing millions of bytes to graphics memory faster than millions of I/O instructions'.
Which of the following is NOT typically one of the four registers found in an I/O device controller?,Status register,Control register,Data-in register,Data-out register,Program Counter register,E,"The text lists 'Typically four registers: status, control, data-in, data-out'."
What is the primary function of the 'data-in register' in an I/O device controller?,To send output data from the host to the device.,To indicate the device's current operational state.,To receive input data from the device to be read by the host.,To initiate a command on the device.,To store temporary configuration settings.,C,"The text states, 'Data-in register: read by host for input'."
A host writes to which I/O device control register to start a command or change a device's mode?,Data-in register,Data-out register,Status register,Control register,Error register,D,"The text states, 'Control register: written by host to start command or change device mode'."
What information can typically be read from an I/O device's 'status register'?,Data to be sent to the device.,Commands to change device operating mode.,"States such as command complete, byte available, or error.",The device's unique serial number.,The amount of free memory on the device.,C,"The text states, 'Status register: bits read by host, indicate states (command complete, byte available, error)'."
What is the purpose of FIFO chips sometimes found in I/O controllers?,To prioritize commands from the host.,To implement flow control protocols for network communication.,"To hold several bytes, expanding capacity and buffering data bursts.",To generate interrupt signals to the CPU.,To store firmware for the controller's operation.,C,"The text states, 'Some controllers have FIFO chips: hold several bytes, expand capacity, buffer data bursts'."
What does 'polling' (or busy-waiting) involve in the context of host-controller interaction for I/O?,The host sends an interrupt request to the controller for every data transfer.,"The host continuously reads the status register of a device, waiting for I/O completion.",The controller sends data directly to main memory without CPU intervention.,The host dedicates a separate processor core to handle all I/O operations.,The controller queues up multiple I/O requests for batch processing.,B,The text defines 'polling' as an 'I/O loop where I/O thread continuously reads status waiting for I/O completion' and states 'host is busy-waiting or polling (repeatedly reading status register)'.
Under what condition is 'polling' an efficient method for host-controller interaction?,When the wait for the device to be ready is long.,When there are many other CPU tasks pending concurrently.,"When the controller and device are very fast, and the wait is short.",When data loss due to buffer overflow is a significant concern.,When interrupts are disabled by the CPU for critical sections.,C,"The text states, 'Polling efficient if controller/device fast'."
"What is a significant disadvantage of 'polling' for I/O, especially when the device is slow?",It increases the complexity of device driver development.,It leads to higher power consumption for the peripheral device.,"It is inefficient if the wait is long and other CPU tasks are pending, wasting CPU cycles.",It requires more dedicated hardware components for the I/O operation.,"It cannot detect errors during data transfer, leading to corrupted data.",C,"The text notes, 'Inefficient if wait is long and other CPU tasks pending'."
What is an 'interrupt' in computer systems?,A software function call to a kernel routine for service.,A hardware mechanism for a device to notify the CPU that it needs attention.,A signal indicating a power failure or system shutdown.,A type of memory error that leads to system instability.,A system for debugging application code execution.,B,The text defines 'interrupt' as a 'Hardware mechanism for device to notify CPU it needs attention'.
What action does the CPU take immediately after sensing an asserted 'interrupt-request line'?,It continues executing the current instruction until completion.,It saves its current state and jumps to a predefined interrupt-handler routine.,It clears the interrupt signal and waits for the next instruction cycle.,It starts polling the device's status register repeatedly.,It waits for the device to send data directly to a buffer.,B,"The text states, 'CPU senses interrupt-request line after each instruction... CPU saves state, jumps to interrupt-handler routine at fixed address'."
What type of errors are typically handled by a 'nonmaskable interrupt'?,User program errors like division by zero.,Routine device I/O completions.,"Unrecoverable hardware errors, such as memory errors.",Software requests for operating system services.,Network connection timeouts and disconnections.,C,"The text states 'Nonmaskable interrupt: for unrecoverable errors (e.g., memory errors)'."
Which statement is true about 'maskable interrupts'?,They are exclusively used for critical system failures that cannot be ignored.,They cannot be turned off or delayed by the CPU under any circumstances.,They are primarily used by device controllers and can be temporarily turned off by the CPU.,They always have a higher priority level than nonmaskable interrupts.,"They are only generated by software, not hardware devices.",C,"The text states 'Maskable: can be turned off by CPU for critical sequences, used by device controllers'."
What is the purpose of an 'interrupt vector'?,To store all pending interrupt requests in a queue.,To manage the priority levels of different interrupt sources.,To provide a table of memory addresses of specialized interrupt handlers.,To encrypt interrupt signals for enhanced system security.,To buffer data from I/O devices before it is processed by the CPU.,C,The text defines 'interrupt vector' as a 'table of memory addresses of specialized handlers'.
When is 'interrupt chaining' used in interrupt handling?,When there are fewer devices than available interrupt vector elements.,"To ensure all interrupts are handled by a single, monolithic handler.","When more devices exist than available interrupt vector elements, requiring a list of handlers per vector element.",To combine multiple low-priority interrupts into one high-priority interrupt.,To prevent any interrupt handler from servicing a request out of order.,C,"The text states 'More devices than vector elements: interrupt chaining', where 'each vector element points to head of handler list'."
"In the context of interrupts, what is an 'exception'?",A rare hardware fault that does not trigger an interrupt.,A software-generated interrupt caused by an error or a user program's request for OS service.,A high-priority external interrupt from a critical device.,A signal indicating successful completion of an I/O operation.,A general term for any event that temporarily halts CPU execution.,B,The glossary defines 'exception' as 'Software-generated interrupt by error or user program request for OS service'.
What is the primary role of the 'first-level interrupt handler (FLIH)' compared to the 'second-level interrupt handler (SLIH)'?,"FLIH performs the actual handling of the interrupt, while SLIH handles context switching and queuing.","FLIH is responsible for context switching, state storage, and queuing, while SLIH performs the actual interrupt handling.","FLIH is designed for maskable interrupts, while SLIH is for nonmaskable interrupts.","FLIH runs in user mode, while SLIH always runs in kernel mode.","FLIH manages interrupt priorities, while SLIH interacts directly with the device controller.",B,"The text states, 'First-level interrupt handler (FLIH): context switch, state storage, queuing', and 'Second-level interrupt handler (SLIH): performs actual handling'."
"Which mechanism saves user state, switches to kernel mode, and dispatches to a kernel routine, often triggered by a system call?",Polling,Direct Memory Access (DMA),A hardware interrupt from a device,A trap (software interrupt),Busy-waiting,D,"The text describes a 'Trap' as saving 'user state, switches to kernel mode, dispatches to kernel routine' and notes 'System calls: ... execute software interrupt or trap'."
How does the priority of a 'trap' (software interrupt) typically compare to that of device interrupts?,Traps always have higher priority because they initiate OS services.,Traps always have an equal priority to device interrupts.,"Traps typically have lower priority compared to device interrupts, as they are less urgent.",Trap priority is dynamically assigned based on current system load.,Traps are only handled when no device interrupts are active.,C,"The text states, 'Trap priority: low compared to device interrupts (less urgent)'."
"In a threaded kernel architecture (e.g., Solaris), how are interrupt handlers often implemented?",As independent user-level processes with fixed priorities.,"As kernel threads with high scheduling priorities, allowing preemption and concurrent execution on multiprocessors.","As part of the device driver, running in a continuous polling loop.",As hardware-level logic that bypasses the kernel entirely.,"As single-threaded, non-preemptable routines to ensure atomicity.",B,"The text states, 'Threaded kernel architecture (e.g., Solaris): interrupt handlers as kernel threads, high scheduling priorities, preemption, concurrent execution on multiprocessor'."
"Why is 'programmed I/O (PIO)' considered wasteful for large data transfers, such as from a disk?",It requires too much dedicated memory for buffering.,"It involves the CPU watching status bits and feeding data byte-by-byte, consuming significant CPU time.",It generates an excessive number of interrupt requests.,It can only transfer data in one direction at a time.,It requires specialized I/O instructions that are not efficient on modern CPUs.,B,"The text states, 'For large transfers (e.g., disk), programmed I/O (PIO) (CPU watching status bits, feeding data byte-by-byte) is wasteful'."
What is 'direct memory access (DMA)'?,A CPU feature that allows direct access to graphics memory without a controller.,An operation allowing device controllers to transfer large data directly to/from main memory without main CPU involvement.,A method for the CPU to directly access I/O ports using special instructions.,A caching technique for frequently accessed I/O data in the CPU's L1 cache.,A protocol for network communication between devices on a local area network.,B,The text defines 'direct memory access (DMA)' as an 'Operation allowing device controllers to transfer large data directly to/from main memory'.
How does a host typically initiate a DMA transfer?,By sending a series of I/O instructions for each byte to be transferred.,By continuously polling the DMA controller's status register.,"By writing a DMA command block (including source, destination, and byte count) to memory.",By raising a nonmaskable interrupt to alert the DMA controller.,By directly accessing the device's data-out register with the first byte.,C,"The text states, 'Initiate DMA: host writes DMA command block to memory (source, destination, byte count)'."
What does 'scatter-gather' allow in the context of DMA?,Transferring data to multiple devices simultaneously from a single source.,Specifying a list of non-contiguous sources/destinations in one DMA command.,Collecting multiple small I/O requests into a single large one for efficiency.,Distributing the load across multiple DMA controllers in a system.,Grouping related I/O devices on a single bus to reduce complexity.,B,The text describes a DMA command block that can be 'complex: list of non-contiguous sources/destinations (scatter-gather)'.
How does a DMA controller perform data transfers after being initiated by the CPU?,It requests the CPU to move data one byte at a time.,It uses the CPU's general-purpose registers to temporarily store data.,"It operates the memory bus directly, performing transfers without the main CPU's intervention.",It sends an interrupt to the CPU for each byte transferred to confirm reception.,It copies data from a dedicated cache memory within the CPU.,C,"The text states, 'DMA controller operates memory bus directly, performs transfers without main CPU'."
What is 'double buffering' often used for when transferring data from a device via DMA to a user space target?,To increase the speed of data transfer by using two DMA controllers in parallel.,"To copy data twice (e.g., device to kernel, then kernel to user memory) to manage risks of user space modification.",To store the same data in two different memory locations for redundancy.,To allow simultaneous read and write operations on the same data set.,To avoid 'cycle stealing' from the CPU by pre-fetching data.,B,"The text notes, 'Data to user space: second copy operation (double buffering) from kernel to user memory, inefficient', indicating its use due to modification risk."
What is 'cycle stealing' in the context of DMA?,The CPU gaining unauthorized access to device memory.,"A device (e.g., DMA controller) temporarily seizing the memory bus, preventing CPU access.",A technique to reduce CPU power consumption during idle periods.,The process of optimizing CPU clock cycles for faster execution.,A security vulnerability allowing unauthorized data exfiltration.,B,The text defines 'cycle stealing' as 'DMA controller seizing bus: CPU momentarily prevented from main memory access'.
What is a key characteristic or advantage of 'direct virtual memory access (DVMA)'?,"It allows direct memory access only to physical addresses, without translation.",It requires CPU intervention for every data transfer operation.,It enables transfers between memory-mapped devices using virtual addresses without CPU or main memory involvement.,It bypasses the need for any memory translation units (MMUs).,"It is an older, deprecated technology no longer used in modern computing.",C,"The text states 'DVMA: uses virtual addresses, translates to physical. Can transfer between memory-mapped devices without CPU/main memory'."
"Which bus type is commonly used in data centers to connect computers to storage arrays, as specified in the glossary?",PCIe bus,Expansion bus,Fibre Channel (FC) bus,USB bus,Parallel SCSI bus,C,The glossary defines 'Fibre channel (FC)' as a 'Storage I/O bus used in data centers to connect computers to storage arrays'.
What does the term 'PHY' refer to in the context of networking components mentioned in the glossary?,"A physical cable type, such as Ethernet or Fibre Optic.",The Physical hardware component connecting to a network (OSI layer 1).,A software layer for network protocol processing.,A power supply unit for network devices.,A diagnostic tool for network connectivity issues.,B,The glossary defines 'PHY' as 'Physical hardware component connecting to a network (OSI layer 1)'.
"What does the acronym SAS stand for, and what type of component is it, according to the glossary?",System Area Server; a type of network server.,Secure Access System; a security protocol for data encryption.,Serial-attached SCSI; a common type of I/O bus.,Software Allocation System; a memory management scheme.,Storage Area Subsystem; a component in data storage architectures.,C,The glossary defines 'SAS' as 'Serial-attached SCSI (SAS) Common type of I/O bus'.
"Which data transfer method involves the CPU transferring data one byte at a time, described as wasteful for large transfers?",Direct Memory Access (DMA),Interrupt-driven I/O,Programmed I/O (PIO),Memory-mapped I/O,Scatter-gather I/O,C,The glossary defines 'programmed I/O (PIO)' as 'Data transfer method where CPU transfers data one byte at a time'.
Which term describes a thread or process continuously using the CPU while waiting for an I/O operation to complete by repeatedly reading a status register?,Interrupt handling,Direct memory access,Busy waiting (polling),Context switching,Paging,C,The glossary defines 'busy waiting' as 'Thread/process continuously uses CPU while waiting; I/O loop reading status' and equates it with 'polling'.
Which of the following is explicitly mentioned as a key concept of I/O hardware in the summary?,Virtual memory paging,Application programming interfaces (APIs),Handshaking (host and device controller),Network routing protocols,CPU instruction pipelining,C,The 'I/O hardware summary' explicitly lists 'Handshaking (host and device controller)' as a key concept.
"What is the general term for device-control registers mapped into the processor's address space, allowing the CPU to use standard data-transfer instructions?",Special I/O instructions,Programmed I/O (PIO),Memory-mapped I/O,Direct Memory Access (DMA),Register-based communication,C,The text states 'Memory-mapped I/O: device-control registers mapped into processor address space. CPU uses standard data-transfer instructions to read/write registers at mapped locations'.
"Which register is read by the host to determine the current state of an I/O device, such as whether a command is complete or an error has occurred?",Data-in register,Data-out register,Control register,Status register,Interrupt register,D,"The text states, 'Status register: bits read by host, indicate states (command complete, byte available, error)'."
What is the primary goal of the application I/O interface structuring techniques?,To maximize the speed of I/O operations by bypassing the OS kernel.,"To ensure that all I/O devices have unique, non-standardized interfaces for security.","To treat I/O devices uniformly, abstracting away differences and simplifying OS development.","To allow applications direct, unmediated access to hardware device controllers.",To force hardware manufacturers to use only one specific type of I/O device.,C,The text states the overarching goal is to 'treat I/O devices uniformly' which simplifies OS development and allows for abstracting away device differences.
Which of the following approaches are explicitly mentioned as being utilized to achieve uniform treatment of I/O devices?,"Direct hardware manipulation, unmediated access, and polling.","Abstraction, encapsulation, and software layering.",Custom system calls for every device type and dedicated hardware.,"Batch processing, interrupt masking, and memory-mapped registers.","Kernel-level device drivers, but without standard interfaces.",B,"The text explicitly lists 'Approach: abstraction, encapsulation, software layering' as the methods used."
What is the primary purpose of the device-driver layer within the kernel I/O subsystem?,To directly manage application-level requests for I/O without kernel intervention.,To export non-standardized interfaces unique to each device controller.,To hide differences among device controllers from the kernel I/O subsystem.,To provide a direct interface for applications to bypass the kernel entirely for I/O.,To perform complex computations unrelated to device communication.,C,"The text states, 'Purpose of device-driver layer: hide differences among device controllers from kernel I/O subsystem.'"
A device that transfers bytes one by one is classified as what type of device?,Block device,Random-access device,Character-stream device,Synchronous device,Sharable device,C,The text defines 'Character-stream: transfers bytes one by one.'
What is the distinguishing characteristic of a 'block' device compared to a 'character-stream' device?,"Block devices transfer data asynchronously, while character-stream devices transfer synchronously.","Block devices transfer a block of bytes as a unit, while character-stream devices transfer bytes one by one.","Block devices are always random-access, while character-stream devices are always sequential.","Block devices are typically used for printers, while character-stream devices are for disks.","Block devices are dedicated, while character-stream devices are sharable.",B,The text defines 'Block: transfers a block of bytes as a unit' and 'Character-stream: transfers bytes one by one.'
Which characteristic describes an I/O device where the user can seek to any storage location?,Sequential access,Random-access,Character-stream,Synchronous,Dedicated,B,The text defines 'Random-access: user seeks to any storage location.'
What is the key difference between synchronous and asynchronous I/O devices regarding their response times?,"Synchronous devices have irregular/unpredictable response times, while asynchronous devices have predictable response times.",Synchronous devices are always faster than asynchronous devices.,"Synchronous devices have predictable response times and are coordinated, while asynchronous devices have irregular/unpredictable response times and are not coordinated.","Asynchronous devices require direct polling, while synchronous devices use interrupts.","Synchronous devices are dedicated, while asynchronous devices are sharable.",C,"The text states, 'Synchronous: predictable response times, coordinated. Asynchronous: irregular/unpredictable response times, not coordinated.'"
Which type of device can be used concurrently by several processes or threads?,Dedicated,Sequential,Read only,Sharable,Write once,D,The text defines 'Sharable: used concurrently by several processes/threads.'
Which of the following is NOT listed as a major access convention by which the OS groups devices?,Block I/O,Character-stream I/O,Direct Memory Access (DMA),Memory-mapped file access,Network sockets,C,"The text lists Block I/O, Character-stream I/O, Memory-mapped file access, and Network sockets as major access conventions. DMA is a hardware feature, not an access convention."
What is the purpose of an 'escape' or 'back door' mechanism in an OS I/O interface?,To allow the OS to directly control all network traffic.,To provide a standardized way to access all device functionalities.,To transparently pass arbitrary commands to a device driver when the standard interface lacks a specific method.,To restrict application access to sensitive device functions.,To implement file system caching for block devices.,C,The glossary defines 'escape' and 'back door' as a 'Method of passing arbitrary commands when interface lacks standard method.'
"In UNIX, what is the `ioctl()` system call primarily used for?",Performing standard file `read()` and `write()` operations.,Creating new system calls dynamically.,Enabling an application to access any driver functionality without requiring a new system call.,Managing memory allocation for device buffers.,Synchronizing clocks across multiple devices.,C,The text states `ioctl()` 'Enables application to access any driver functionality without new system call.'
"When using `ioctl()` in UNIX, what does the 'major number' of the device identifier typically represent?","The specific instance of a device (e.g., the second hard drive).",The total number of I/O operations performed on the device.,"The device type, which routes I/O requests to the appropriate driver.",The memory address where the device is mapped.,The speed of the I/O device.,C,"The text specifies, 'Major number: device type, routes I/O requests to driver.'"
What does 'raw I/O' imply when accessing secondary storage?,Accessing data through a standard file system interface with full buffering.,"Direct access to secondary storage as a linear array of blocks, bypassing the file system.",Only read-only access to storage devices.,Accessing data via memory-mapped files exclusively.,Transferring data byte by byte without block aggregation.,B,"The text defines 'raw I/O' as 'Direct access to secondary storage as array of blocks, no file system.'"
What is a key benefit of using raw I/O for applications like database management systems (DBMS)?,It allows for standard file system permissions to be enforced more strictly.,It avoids extra buffering and redundant locking provided by the OS file system.,It automatically encrypts data for secure storage.,It enables byte-by-byte data transfer for maximum granularity.,It simplifies the programming interface by eliminating the need for `seek()` commands.,B,"The text notes, 'Raw I/O avoids extra buffering and redundant locking.'"
How does memory-mapped file access typically operate?,It transfers entire files into main memory at once before any access.,"It accesses disk storage via a byte array in main memory, with data transferred only when needed (demand-paged).","It bypasses main memory entirely, transferring data directly between disk and CPU registers.",It requires applications to manage their own disk block allocation.,"It is exclusively used for character-stream devices, not block devices.",B,"The text states, 'Access disk storage via byte array in main memory. Data transfers only when needed (demand-paged virtual memory access), efficient.'"
Which of the following devices typically uses a character-stream interface?,Disk drives,Solid State Drives (SSDs),Keyboards,USB flash drives,CD-ROM drives,C,"The text lists 'keyboards, mice, modems, printers, audio boards' as examples for character-stream interface."
What is the common interface used for network I/O in operating systems like UNIX and Windows?,`read()`/`write()`/`seek()` interface,Character-stream interface,Network socket,Raw I/O interface,Memory-mapped file access,C,"The text states, 'Common interface: network socket (UNIX, Windows).'"
What is the primary function of the `select()` system call in the context of network sockets?,To establish a new network connection.,To send a packet over a network.,To manage a set of sockets and return information on which ones are ready for I/O.,To close an existing network socket.,To convert network addresses between IPv4 and IPv6.,C,"The text describes `select()` as managing 'set of sockets, returns info on ready sockets (packet waiting, room to send).'"
"How does the `select()` system call improve network I/O efficiency, particularly regarding polling?",It introduces additional busy-waiting to ensure data integrity.,It allows applications to poll constantly without performance impact.,It eliminates polling/busy waiting for network I/O by blocking until I/O is possible.,It forces the kernel to ignore I/O requests for a specified duration.,"It streams data directly to the CPU registers, bypassing kernel buffers.",C,"The text states, '`select()` eliminates polling/busy waiting for network I/O.'"
Which of the following is a key function provided by hardware clocks and timers to the OS and applications?,Managing file system permissions.,Performing context switching between processes.,"Providing current time, elapsed time, and setting timers for future operations.",Encrypting network traffic.,Resolving domain names to IP addresses.,C,"The text states, 'Hardware clocks/timers provide: current time, elapsed time, set timer for operation X at time T.'"
What is the primary mechanism by which a programmable interval timer helps the OS with operations like process preemption or cache flushing?,It directly executes the preemption logic.,"It generates an interrupt after a set period, allowing the OS to react.",It provides a continuous stream of time data for passive monitoring.,It stores user application data temporarily.,It synchronizes external network devices.,B,"The text states it can be 'Set to wait, then generate interrupt (once or periodically)' and is 'Used by scheduler (preempt process), disk I/O (flush dirty cache), network (cancel slow operations).'"
How does an OS typically manage more timer requests from user processes than the available hardware timer channels?,By rejecting any requests beyond the hardware limit.,By assigning a dedicated hardware timer to each user process.,"By simulating virtual clocks, maintaining a sorted list of wanted interrupts, and setting the hardware timer for the earliest.",By distributing timer requests across multiple CPUs without coordination.,By requiring user processes to implement their own timing logic.,C,"The text states, 'Supports more timer requests than hardware channels by simulating virtual clocks. Kernel maintains sorted list of wanted interrupts, sets timer for earliest.'"
Which protocol is specifically mentioned for correcting system clock drift?,TCP/IP,HTTP,Network Time Protocol (NTP),FTP,SMTP,C,"The text explicitly mentions, 'System clock drift corrected by protocols (e.g., network time protocol (NTP)).'"
What defines a 'blocking' system call in the context of I/O?,The calling thread continues execution immediately without waiting for I/O.,The system call returns with partial data if the full request cannot be met immediately.,The calling thread is suspended and moved to a wait queue until the I/O operation completes.,"The I/O operation is performed entirely in hardware, bypassing the OS.",It indicates that the I/O operation has failed.,C,"The text defines 'Blocking system call: calling thread suspended, moved to wait queue. Resumes after completion.'"
What is the main difference in behavior between a 'nonblocking' I/O system call and an 'asynchronous' I/O system call regarding data transfer?,"Nonblocking calls always transfer the full amount of data requested, while asynchronous calls never do.","Nonblocking calls suspend the calling thread, while asynchronous calls return immediately.","Nonblocking `read()` returns immediately with available data (full, fewer, or none), while asynchronous `read()` requests a full transfer to complete later, returning immediately.","Asynchronous calls require manual polling, while nonblocking calls use interrupts.","Nonblocking calls are only for network I/O, while asynchronous calls are for disk I/O.",C,"The text states, 'Difference: nonblocking `read()` returns available data immediately (full, fewer, none); asynchronous `read()` requests full transfer to complete later.' Both return immediately, but their immediate *result* is different regarding data readiness."
How is I/O completion typically communicated to a thread that initiated an asynchronous system call?,The thread remains blocked until completion.,By a return value indicating success or failure immediately.,"Via variable setting, a signal/software interrupt, or a callback.",Through continuous polling by the calling thread.,By logging the completion status to a system file.,C,"The text states, 'I/O completion communicated via variable setting, signal/software interrupt, or callback.'"
