Front,Back,Reversible
"What mechanism spins HDD platters, and at what speed?","A disk drive motor, spinning at high speeds (60 to 250 times per second, measured in RPM).",y
What are common rotational speeds (RPM) for HDDs?,"5,400, 7,200, 10,000, 15,000 RPM.",y
Describe a power-saving feature found in some HDDs.,Some drives power down when not in use and spin up on an I/O request.,y
How does HDD rotation speed relate to data transfer?,"Rotation speed is related to the transfer rate, which is the rate data flows between the drive and the computer.",y
Define transfer rate.,Rate at which data flows.,y
What are other important performance aspects of HDDs besides transfer rate?,Positioning time or random-access time.,y
Define positioning time (HDD).,"On HDD, time for read-write head to position over desired track.",y
What are the two components of HDD positioning time?,Seek time and rotational latency.,y
Define seek time (HDD).,"On HDD, time for read-write head to position over desired cylinder.",y
Define rotational latency (HDD).,"On HDD, time for read-write head (once over desired cylinder) to access desired track.",y
What are typical performance figures for HDDs in terms of transfer rate and latency?,"Tens to hundreds of MB/sec transfer rate, and several milliseconds for seek and rotational latency.",y
How is HDD performance increased?,By using DRAM buffers in the drive controller.,y
How does an HDD read-write head operate without touching the platter?,It flies on a thin cushion (microns) of air/gas.,y
Define head crash (HDD).,"On HDD, mechanical problem: read-write head touching platter.",y
What are the consequences of an HDD head crash?,"It's normally irreparable, requiring the entire disk to be replaced, and data is lost unless backed up or RAID protected.",y
Describe the typical physical enclosure of an HDD.,They are typically sealed units.,y
"What is a ""removable"" HDD?",An HDD that can be removed from some chassis without shutting down the system.,y
What are examples of other removable media besides HDDs?,"CDs, DVDs, and Blu-ray discs.",y
Are published disk performance numbers always accurate for real-world usage?,"No, they are not always the same as real-world performance.",y
How do stated disk transfer rates compare to effective transfer rates?,Stated transfer rates are always higher than effective transfer rates.,y
Define effective transfer rate.,"Actual, measured transfer rate of data between two devices.",y
What is the distinction between published transfer rate and effective transfer rate?,"Published transfer rate refers to bits read directly from the magnetic media, while effective transfer rate refers to the rate at which blocks are delivered to the OS.",y
What is a key characteristic distinguishing NVM devices from HDDs?,NVM devices are electrical rather than mechanical.,y
What are NVM devices typically composed of?,A controller and flash NAND die semiconductor chips that store data.,y
Define Solid-State Disk (SSD).,Disk-drive-like storage device using flash-memory-based nonvolatile memory.,y
Define USB drive.,Nonvolatile memory in form of device plugging into USB port.,y
"Where else can NVM devices be found, particularly in mobile devices?","Surface-mounted on motherboards, as seen in smartphones.",y
What are the advantages of NVM devices over HDDs?,"More reliable (no moving parts), faster (no seek/rotational latency), and consume less power.",y
What are the disadvantages of NVM devices compared to HDDs?,More expensive per MB and generally less capacity than larger HDDs.,y
What is the current trend regarding NVM capacity and price?,"NVM capacity has increased faster, and its price has dropped quicker, leading to increasing use.",y
"Where are SSDs commonly used, and why?","In laptops for smaller, faster, and energy-efficient systems.",y
What can limit the throughput of NVM devices despite their inherent speed?,Standard bus interfaces can limit their throughput.,y
How do some NVM devices overcome bus interface limitations?,"By connecting directly to the system bus (e.g., PCIe).",y
How is NVM technology influencing computer design?,"It's changing computer design, allowing for direct disk replacement and new cache tiers.",y
What are some challenges associated with NAND semiconductors used in NVM?,Storage and reliability challenges.,y
How do NVM devices read and write data?,"In ""page"" increments, similar to how HDDs use sectors.",y
What is a critical characteristic of NAND cells regarding data modification?,Data cannot be overwritten directly; NAND cells must be erased first.,y
"How is data erased on NVM devices, and how does its speed compare to read/write operations?","Erasure occurs in ""block"" increments (several pages) and is much slower than read/write operations.",y
How do NVM flash devices achieve parallel operations?,"They consist of many dies and many datapaths, enabling parallel operations.",y
What is a major limitation of NAND semiconductors in terms of lifespan?,"They deteriorate with every erase cycle, typically lasting about 100,000 program-erase cycles.",y
How is NVM lifespan measured?,In Drive Writes Per Day (DWPD).,y
Define Drive Writes Per Day (DWPD).,"How many times the drive capacity can be written per day before failure, typically within its warranty period.",y
Provide an example calculation for DWPD.,A 1 TB NAND drive with a 5 DWPD rating means 5 TB/day can be written for the warranty period.,y
How are the limitations of NAND semiconductors (like erase cycles) managed?,"By ameliorating algorithms, usually implemented in the NVM device controller, which are transparent to the OS.",y
How does the OS interact with NVM devices regarding block management?,"The OS reads and writes logical blocks, and the device controller manages the physical mapping and operations.",y
What causes performance variations in NVM devices?,The operating algorithms within the device controller.,y
Define flash translation layer (FTL).,"For nonvolatile memory, a table tracking currently valid blocks, maintained by the controller, mapping physical pages to currently valid logical blocks.",y
What information does the FTL track regarding physical blocks?,"It tracks which physical blocks contain only invalid pages, indicating they can be erased.",y
"What happens when an SSD is full and a write operation is pending, if a block contains no valid data?","The write waits for an erase operation, then occurs.",y
"What happens when an SSD is full and a write operation is pending, if no free blocks exist but individual pages hold invalid data?","Garbage collection occurs, where good data is copied to other locations, freeing blocks for erase/writes.",y
Define garbage collection (NVM).,Recovery of space containing no-longer-valid data on NVM devices.,y
What technique is used to solve NVM write performance issues and improve it?,Over-provisioning.,y
Define over-provisioning (NVM).,"In non-volatile memory, space set aside for data writes not counted in device free space.",y
What happens to blocks that become totally invalid through garbage collection or write operations?,They are erased and placed in the over-provisioning space or returned to the free pool.,y
How does over-provisioning space benefit NVM device lifespan?,It helps with wear leveling.,y
Define wear leveling (NVM).,"In nonvolatile memory, effort to select all NAND cells over time as write targets to avoid premature media failure.",y
How does the NVM controller implement wear leveling?,It uses algorithms to place data on less-erased blocks to distribute wear evenly.,y
How do NVM devices protect data integrity?,"They provide error-correcting codes (ECC), which are calculated and stored with data to detect and correct errors.",y
What happens if an NVM page frequently exhibits correctable errors?,It is marked as bad and not used in subsequent writes.,y
What is a risk associated with a single NVM device regarding data?,"Catastrophic failure is possible, which can corrupt or prevent reading/writing of data.",y
How can data on NVM devices be made recoverable from catastrophic failure?,By using RAID protection.,y
What type of memory is sometimes used as a mass-storage device despite its volatility?,DRAM.,y
Define RAM drives (RAM disks).,Sections of system's DRAM presented as secondary storage devices.,y
How can RAM drives be utilized by the OS?,As raw block devices or with file systems.,y
"What is the primary purpose of RAM drives, despite their volatility?",To allow users or programmers to place data in memory for temporary safekeeping using standard file operations.,y
For what common tasks are RAM drives particularly useful?,For temporary files and sharing data.,y
Provide examples of how RAM drives are implemented in major operating systems.,"Linux uses /dev/ram; macOS uses diskutil; Windows uses third-party tools; Solaris and Linux often use /tmp as a ""tmpfs"" RAM drive at boot.",y
Define magnetic tape.,"Magnetic media storage device (tape spooled on reels, passing over read-write head); mostly for backups.",y
What was magnetic tape's historical role in secondary storage?,It was an early secondary-storage medium.,y
What are two key characteristics of magnetic tape regarding data persistence and capacity?,It is nonvolatile and holds large quantities of data.,y
How does magnetic tape access time compare to main memory and drives?,It is slow compared to main memory and drives.,y
Provide a comparison of magnetic tape random access speed to HDDs and SSDs.,"Random access is approximately 1,000 times slower than HDDs and 100,000 times slower than SSDs.",y
What are the main uses of magnetic tapes today?,"Backup, storing infrequently used information, and transferring information between systems.",y
Describe the physical mechanism of magnetic tape operation.,"Tape is kept in a spool, wound and rewound past a read-write head.",y
What is a significant time drawback of magnetic tape access?,Moving to the correct spot on the tape can take minutes.,y
How do tape drive read/write speeds compare to HDDs once positioned?,"Once positioned, tape drives can read and write at speeds comparable to HDDs.",y
What are typical capacities for magnetic tapes?,They can exceed several terabytes.,y
What feature in some magnetic tapes can increase their effective storage capacity?,"Built-in compression, which can double the effective storage.",y
How are magnetic tapes categorized?,"By width (e.g., 4, 8, 19mm; 1/4, 1/2 inch) or by technology (e.g., LTO-6, SDLT).",y
How are secondary storage devices attached to a computer?,By a system bus or an I/O bus.,y
Define I/O bus.,Physical connection of I/O device to computer system.,y
List common types of I/O buses used for secondary storage.,"Advanced Technology Attachment (ATA), Serial ATA (SATA), eSATA, Serial Attached SCSI (SAS), Universal Serial Bus (USB), and Fibre Channel (FC).",y
Define Advanced Technology Attachment (ATA).,Older-generation I/O bus.,y
Define eSATA.,Type of I/O bus.,y
Define Serial-Attached SCSI (SAS).,Common type of I/O bus.,y
Define Universal Serial Bus (USB).,Type of I/O bus.,y
Define Fibre Channel (FC).,Type of storage I/O bus used in data centers to connect computers to storage arrays.,y
What is currently the most common I/O bus for secondary storage?,SATA.,y
What special fast interface is used for NVM devices due to their higher speed?,NVM Express (NVMe).,y
Define NVM Express (NVMe).,High-speed I/O bus for NVM storage.,y
How does NVMe improve NVM device performance?,"It directly connects the device to the system PCI bus, which increases throughput and decreases latency.",y
What manages data transfers on the I/O bus for storage devices?,Special electronic processors called controllers or host-bus adapters (HBA).,y
Define controller (I/O).,Special processor managing I/O devices.,y
Define host bus adapter (HBA).,Device controller installed in host bus port to allow device connection to host.,y
Define host controller.,"I/O-managing processors within a computer (e.g., inside HBA).",y
Define device controller.,I/O managing processor within a device.,y
How does a computer initiate a mass storage I/O operation?,"The computer places a command into the host controller, typically via memory-mapped I/O ports.",y
"After receiving a command, what does the host controller do?",It sends the command via messages to the device controller.,y
What is the role of the device controller in an I/O operation?,It operates the drive hardware to fulfill the command.,y
What component do device controllers typically have to improve performance?,A built-in cache.,y
Where does data transfer occur within the drive itself?,Between the device controller's built-in cache and the storage media.,y
How is data transferred from the device controller's cache to the host computer?,"At fast electronic speeds, via Direct Memory Access (DMA) between the cache and the host's DRAM.",y
How are storage devices logically addressed by the operating system?,As large one-dimensional arrays of logical blocks.,y
Define logical blocks.,Logical addresses used to access blocks on storage devices.,y
What does each logical block map to physically on a storage device?,A physical sector (on HDDs) or a semiconductor page (on NVM devices).,y
"Describe the typical logical-to-physical mapping for HDDs (e.g., Sector 0).","Sector 0 is typically the first sector of the first track on the outermost cylinder. Mapping proceeds sequentially through the track, then the rest of the tracks on that cylinder, then the rest of the cylinders (from outermost to innermost).",y
How is NVM physical addressing mapped to logical blocks?,"A tuple (chip, block, page) is mapped to an array of logical blocks.",y
"What is Logical Block Address (LBA), and why is it preferred?","A logical address used to access blocks on storage devices, which is easier for algorithms than physical addresses like sector/cylinder/head tuples or chip/block/page tuples.",y
"Is converting LBA to old-style disk addresses (cylinder, track, sector) straightforward?","No, it is difficult in practice.",y
Why is converting LBA to physical cylinder/track/sector addresses difficult in practice?,"Because defective sectors are hidden by substituting spare sectors (making LBA sequential but physical non-sequential), the number of sectors per track is not constant on some drives, and disk manufacturers internally manage the LBA to physical address mapping, creating little direct relationship.",y
What assumption do algorithms dealing with HDDs typically make about logical and physical addresses?,"They assume logical addresses are relatively related to physical addresses, meaning ascending logical addresses imply ascending physical addresses.",y
Define Constant Linear Velocity (CLV).,Device-recording method: constant bit density per track by varying rotational speed.,y
In what types of drives is CLV typically used?,CD-ROM and DVD-ROM drives.,y
Define Constant Angular Velocity (CAV).,"Device-recording method: medium spins at constant velocity, bit density decreases inner to outer tracks.",y
In what types of drives is CAV typically used?,Hard disks.,y
What is the trend for sectors per track and cylinders per disk with advancing technology?,They are increasing.,y
How many cylinders can large disks have?,Tens of thousands.,y
What are the primary responsibilities of the OS for HDDs to ensure efficient hardware use?,To minimize access time and maximize data transfer bandwidth.,y
What two main components contribute to access time in HDDs/mechanical storage?,Seek time and rotational latency.,y
"Define ""seek time"" in HDD operations.",The time required for the device arm to move the read/write heads to the desired cylinder.,y
"Define ""rotational latency"" in HDD operations.",The additional time needed for the disk platter to rotate the desired sector into position under the read/write head.,y
"How is ""device bandwidth"" defined for storage devices?",The total amount of data transferred divided by the total time between the first request for service and the completion of the last transfer.,y
How can the OS improve HDD access time and bandwidth?,By managing the order of storage I/O requests.,y
What happens when a process requires I/O from a storage device?,It issues a system call to the operating system.,y
What information does an I/O request typically include?,"Input/output direction, an open file handle, a memory address, and the amount of data.",y
What occurs if the drive/controller is available when an I/O request is made?,The request is serviced immediately.,y
What happens to new I/O requests if the drive/controller is busy?,New requests are placed in a queue.,y
"In a multiprogramming system, what is commonly found in the device queue?",Pending I/O requests.,y
What is the primary benefit of maintaining a queue of I/O requests for a device driver?,"It allows device drivers to improve performance by ordering requests, primarily by avoiding unnecessary head seeks.",y
How do modern HDD interfaces differ from past ones regarding direct physical access control?,"Past interfaces allowed the host to specify track/head, necessitating significant disk scheduling effort. Modern drives do not expose these controls, mapping Logical Block Addresses (LBAs) to physical addresses internally.",y
What are the current key goals of disk scheduling algorithms?,"Fairness, timeliness, and optimizations (e.g., bunching sequential reads/writes).",y
What type of I/O operation do disk drives perform best with?,Sequential I/O.,y
"Is it generally possible to have absolute knowledge of head, physical block, or cylinder locations on modern drives?","No, it is generally not possible.",y
What approximation do operating systems use regarding Logical Block Addresses (LBAs) and physical disk locations on modern drives?,"Increasing LBAs generally correspond to increasing physical addresses, and close LBAs equate to physical proximity.",y
Which disk scheduling algorithm is considered the simplest?,"First-Come, First-Served (FCFS) or FIFO.",y
How fair is the FCFS disk scheduling algorithm?,It is intrinsically fair.,y
Does FCFS disk scheduling typically provide the fastest service?,"No, it generally does not provide the fastest service.",y
What is a significant performance problem associated with FCFS disk scheduling?,"It often leads to ""wild swings"" in head movement, resulting in high total head movement and suboptimal performance.",y
"Describe the ""SCAN algorithm"" for HDD I/O scheduling.","A disk I/O scheduling algorithm where the disk head moves from one end to the other, servicing requests along the way, and then reverses direction upon reaching an end, continuing to service requests.",y
What is another common name for the SCAN algorithm?,The elevator algorithm.,y
"In the SCAN algorithm, how quickly is a request serviced if it's located immediately in front of the head's current direction?",It is serviced almost immediately.,y
What happens to a request located just behind the head's current direction in the SCAN algorithm?,"It must wait until the arm moves to the end of the disk, reverses its direction, and then travels back to service the request.",y
"With a uniform distribution of requests, what pattern is observed in the SCAN algorithm immediately after the head reverses direction?",There are typically few requests immediately in front of the head because those requests were likely serviced during the previous sweep.,y
"In the SCAN algorithm, where is the heaviest density of pending requests typically found, and why?","At the other end of the disk (the end opposite to where the head just reversed), because those requests have generally waited the longest.",y
"Describe ""Circular SCAN (C-SCAN) scheduling.""","A variant of the SCAN algorithm designed for more uniform wait times. The disk head moves from one end to the other, servicing requests, but upon reaching the other end, it immediately returns to the beginning of the disk without servicing any requests on the return trip.",y
How does C-SCAN conceptually model the disk cylinders?,It essentially treats the cylinders as a circular list.,y
What is the primary advantage of C-SCAN over SCAN regarding wait times?,It provides more uniform wait times for requests.,y
Are most of the existing disk-scheduling algorithms widely used in practice?,"No, many exist but are rarely used.",y
Is it always practical to compute the optimal order for a given list of disk requests?,"An optimal order can be defined, but the computational cost may not justify the performance savings compared to simpler algorithms like SCAN.",y
What key factors heavily influence the performance of a disk-scheduling algorithm?,The number and types of I/O requests.,y
How do all disk scheduling algorithms behave when there is only one outstanding request in the queue?,"They all behave like FCFS (First-Come, First-Served).",y
"Which disk scheduling algorithms are generally preferred for heavy disk loads, and why?","SCAN and C-SCAN, because they are better at handling heavy loads and are less likely to cause starvation.",y
"Can starvation still occur with algorithms like SCAN and C-SCAN, and what did Linux introduce to address this?","Yes, starvation is still possible. Linux introduced the ""deadline"" scheduler to mitigate this.",y
"What type of separate queues does the Linux ""deadline"" scheduler maintain?",Separate read and write queues.,y
"Why does the Linux ""deadline"" scheduler prioritize read requests?",Because processes are more likely to block (wait) on read operations.,y
"How are the primary queues in the Linux ""deadline"" scheduler sorted?","They are sorted in Logical Block Address (LBA) order, which effectively implements a C-SCAN-like behavior.",y
"How does the Linux ""deadline"" scheduler typically send I/O requests to the disk?","All I/O requests are sent in batches, sorted by LBA order.",y
"Detail the four types of queues maintained by the Linux ""deadline"" scheduler.","Two read queues (one sorted by LBA, one by FCFS) and two write queues (one sorted by LBA, one by FCFS).",y
"What check does the Linux ""deadline"" scheduler perform after processing each batch of I/O?","It checks if any FCFS requests are older than a configured age (by default, 500 ms).",y
"What action does the Linux ""deadline"" scheduler take if an FCFS request is found to be older than its deadline?",The LBA queue (either read or write) associated with that old request is selected for the next batch of I/O operations to prevent starvation.,y
Which I/O scheduler was the default in Linux RedHat 7?,The Deadline I/O scheduler.,y
"Besides Deadline, what other I/O schedulers were included in RHEL 7?",NOOP and Completely Fair Queueing (CFQ) scheduler.,y
"When is the NOOP scheduler preferred, and for what type of storage?","It is preferred for CPU-bound systems utilizing fast storage devices, such as Non-Volatile Memory (NVM) devices.",y
"What is the ""Completely Fair Queueing (CFQ)"" scheduler, and where is it typically used as default?","It is the default I/O scheduler in Linux kernel 2.6 and later, commonly used as the default for SATA drives.",y
"What are the three queues maintained by the CFQ scheduler, and how are they sorted?","Real time, best effort (default), and idle. They are sorted by insertion sort in LBA order.",y
"Describe the priority scheme among CFQ's three queues, and what is a potential consequence?","Each queue has exclusive priority: real time is highest, followed by best effort, then idle. Starvation is still possible within this scheme.",y
How does the CFQ scheduler use historical data to optimize I/O?,It anticipates whether a process will issue more I/O requests soon.,y
"When CFQ anticipates future I/O from a process, what optimization does it perform, and what are the underlying assumptions?","It idles, waiting for new I/O from that specific process, and temporarily ignores other queued requests. This action minimizes seek time and assumes locality of reference per process.",y
What is the primary goal of disk-scheduling algorithms for HDDs?,To minimize disk head movement.,y
What is a key physical difference between NVM devices and HDDs that impacts scheduling?,NVM devices have no moving disk heads.,y
What is the common scheduling policy used by NVM devices?,"Simple FCFS (First-Come, First-Served) policy.",y
Define the Linux NOOP scheduler.,"A Linux NVM scheduling algorithm that uses FCFS (First-Come, First-Served) and merges adjacent requests.",y
How do read and write service times differ in uniformity on NVM devices?,"Read service times are uniform, while write service times are not uniform due to flash memory properties.",y
What is a common strategy employed by some SSD schedulers regarding read and write requests?,Merge only adjacent write requests and service all read requests in FCFS order.,y
What are the two main types of I/O access patterns?,Sequential and random.,y
"For which types of devices is sequential access optimal, and why?","Mechanical devices (e.g., HDD, tape), because data is typically near the read/write head, minimizing movement.",y
IOPS,"Stands for **input/output operations per second**. It is a measure of random access I/O performance, representing the number of inputs plus outputs per second.",y
What effect does random access I/O have on HDD performance?,"It causes significant HDD disk head movement, leading to slower performance.",y
How does random access I/O performance compare between NVM devices (like SSDs) and HDDs? Provide a quantitative example.,"Random access I/O is much faster on NVM devices. HDDs typically achieve hundreds of IOPS, while SSDs can achieve hundreds of thousands of IOPS.",y
Why do NVM devices show less performance advantage for raw sequential throughput compared to random access?,"Because HDDs already minimize head seeks during sequential operations, reducing NVM's comparative advantage in this area.",y
What is the approximate performance advantage of NVM devices over HDDs specifically for sequential reads?,NVM performance is approximately 10x better than HDD for sequential reads.,y
"How does writing to NVM compare to reading from NVM in terms of speed, and what is the consequence?","Writing to NVM is slower than reading, which decreases NVM's overall performance advantage.",y
How consistent is HDD write performance over the device's lifespan?,Consistent throughout the device's life.,y
What factors cause NVM write performance to vary?,Device fullness (influenced by garbage collection and over-provisioning) and 'wear'.,y
How does the performance of a worn NVM device compare to a new one?,A worn NVM device has much worse performance than a new device.,y
How can the lifespan and performance of NVM devices be improved in relation to file deletion?,"The file system can inform the device when files are deleted, allowing the device to proactively erase blocks.",y
Why must garbage collection occur on NVM devices?,To reclaim space from invalid data.,y
What complex operations might a single write trigger on an NVM device when garbage collection is involved?,"Reading of pages, writing of good data to overprovisioning space, erasing of an all-invalid-data block, and placing that block into overprovisioning space.",y
"Summarize the I/O operations involved in a single write request on an NVM device, considering the impact of garbage collection.","A single write request involves the page write of the new data, plus one or more page reads and one or more page writes performed by garbage collection to move good data.",y
Define write amplification.,"The creation of additional I/O requests by NVM devices (due to garbage collection and space management), which can greatly impact write performance.",y
What is the worst-case scenario for write amplification?,Several extra I/Os being triggered with each write request.,y
What makes error detection and correction fundamental?,"They are fundamental to memory, networking, and storage systems.",y
Define Error Detection.,"The process of determining if a problem has occurred, such as data corruption (e.g., a bit change in DRAM, a network packet change, or a data block change).",y
What actions can a system take upon detecting an issue?,"It can halt operation, report the error, or warn of a failing/failed device.",y
How do memory systems detect errors?,Using parity bits.,y
What is the function of a parity bit associated with each byte?,It records the even/odd number of 1s in that byte.,y
How is a single-bit error detected using parity bits?,The calculated parity changes and no longer matches the stored parity.,y
How is damage to a stored parity bit detected?,The damaged stored parity bit will not match the newly computed parity for the data.,y
What type of errors are guaranteed to be detected by parity bits?,All single-bit errors.,y
Can double-bit errors be detected by parity bits?,They might go undetected.,y
How is parity calculated?,By XORing bits.,y
What extra memory is required for parity error detection?,An extra bit of memory per byte.,y
What general term includes parity as a form of error detection?,Checksums.,y
Define Checksum.,"A general term for an error detection and correction code that uses modular arithmetic to compute, store, and compare values on fixed-length words. Parity is one form of checksum.",y
What is another error-detection method besides parity?,Cyclic Redundancy Checks (CRCs).,y
Define Cyclic Redundancy Check (CRC).,An error-detection method that uses a hash function to detect multiple-bit errors.,y
Define Error-Correction Code (ECC).,"A code that detects and corrects problems. It is a value calculated from data bytes, written with the data, and then recalculated later to check for changes. ECC contains enough information to identify changed bits and calculate correct values if few bits are corrupted.",y
What does error correction require?,Algorithms and extra storage.,y
What factors cause ECC codes to vary?,The extra storage needed and the number of errors they can correct.,y
How do disk drives utilize ECC?,They use per-sector ECC.,y
How do flash drives utilize ECC?,They use per-page ECC.,y
When is ECC written during a write operation?,"When the controller writes a sector or page, the ECC value, calculated from the data, is written along with it.",y
What happens with ECC when a sector or page is read?,The ECC is recalculated from the read data and compared with the stored ECC value.,y
What does an ECC mismatch indicate?,"That the data is corrupted, and the storage media may be bad.",y
What is a soft error?,"A recoverable error that ECC can correct, often by retrying the operation.",y
What is a hard error?,"A non-correctable, unrecoverable error, signaled when ECC cannot correct too many changes, possibly resulting in data loss.",y
Who is responsible for ECC processing on read/write operations?,The controller automatically performs it.,y
What frequently differentiates consumer and enterprise products in terms of data integrity?,Error detection and correction capabilities.,y
"Besides storage, where else is ECC used?","In some systems, for DRAM error correction and data path protection.",y
What are the OS responsibilities in storage device management?,"Drive initialization, booting from drive, and bad-block recovery.",y
What is the initial state of a new storage device before data can be stored?,"A blank slate (e.g., platter of magnetic material, uninitialized semiconductor cells).",y
What must happen to a storage device before data can be stored on it?,"It must be divided into sectors so the controller can read/write. For NVM, pages must be initialized and an FTL created.",y
Define: low-level formatting,Initialization of a storage medium for computer storage. It fills the device with special data structures for each storage location.,y
Define: physical formatting,Initialization of a storage medium for computer storage. It fills the device with special data structures for each storage location.,y
What components make up the special data structure for each storage location (sector/page) created during low-level formatting?,"Header, data area, and trailer.",y
What information do the header and trailer contain in a storage data structure?,"Controller information (sector/page number, error detection/correction code).",y
When is low-level formatting typically performed on most drives?,At the factory during the manufacturing process.,y
What does factory low-level formatting enable the manufacturer to do?,Test the device and initialize mapping from logical block numbers to defect-free sectors/pages.,y
What are common sector sizes for storage devices?,512 bytes and 4KB.,y
What is the advantage of using a larger sector size?,"Fewer sectors per track, fewer headers/trailers, and more space available for user data.",y
What are the three steps an OS needs to perform to record its own data structures on a storage device?,"1. Partitioning, 2. Volume creation and management, 3. Logical formatting (or creation of a file system).",y
Define: partition,"Logical segregation of storage space into multiple areas, treated by the OS as separate devices.",y
Provide examples of how partitions can be used.,"One partition for OS executable code (file system), another for swap space, and another for user files.",y
Where is partition information stored on a storage device?,In a fixed format at a fixed location on the device.,y
What Linux command is used to manage partitions?,`fdisk`.,y
What does the OS do after recognizing a device and reading its partition information?,"It creates device entries (e.g., `/dev` in Linux).",y
What configuration file tells Linux to mount partitions?,`/etc/fstab`.,y
Define: mounting,Making a file system available for use by logically attaching it to the root file system.,y
Define: volume,"A container of storage; often a device with a mountable file system. Can be implicit (file system directly in a partition) or explicit (e.g., multiple partitions/devices in a RAID set).",y
What Linux tool provides volume management features?,`lvm2`.,y
What file system integrates volume management?,ZFS.,y
Define: logical formatting,"Creation of a file system in a volume to ready it for use, where the OS stores initial file-system data structures onto the device.",y
What initial data structures does the OS store during logical formatting?,Maps of free/allocated space and an initial empty directory.,y
How does partition information indicate if a partition contains a bootable file system?,It indicates if the partition contains the OS.,y
What happens once a partition labeled for boot is mounted?,"It is used to establish the root of the file system, and device links for all other devices/partitions are created.",y
What constitutes a computer's 'file system'?,All mounted volumes.,y
How does Windows name its volumes?,"Separately via letters (e.g., C:, D:, E:).",y
How are file systems typically mounted in Linux?,"The boot file system is mounted at boot, and other file systems are mounted within the tree structure.",y
Define: cluster,"In Windows storage, a power-of-2 number of disk sectors collected for I/O optimization. More broadly, file systems group blocks into larger chunks called clusters.",y
How does device I/O differ from file system I/O?,Device I/O is via blocks; file system I/O is via clusters.,y
What is the benefit of grouping blocks into clusters for file system I/O?,Assures more sequential-access and fewer random-access characteristics.,y
What strategy do file systems use to reduce HDD head seeks?,They group file contents near metadata.,y
Define: raw disk,Direct access to a secondary storage device as an array of blocks with no file system. This allows special programs to use a partition as a large sequential array of logical blocks.,y
Define: raw I/O,"Input/output operations performed directly on a raw disk, bypassing file-system services.",y
What are common use cases for raw disk and raw I/O?,Swap space and some database systems (to control exact record location).,y
What file-system services are bypassed by raw I/O?,"Buffer cache, file locking, prefetching, space allocation, file names, and directories.",y
What is the purpose of allowing applications to use raw I/O?,It allows them to implement their own special-purpose storage services on a raw partition.,y
How does Linux provide similar access to raw I/O?,Via the `DIRECT` flag to the `open()` system call.,y
Define: bootstrap,"The steps taken at computer power-on to bring the system to full operation, starting with an initial program called the bootstrap loader.",y
Where is the initial bootstrap loader typically stored?,"In NVM flash memory firmware on the motherboard, mapped to a known memory location.",y
What does the bootstrap firmware typically initialize?,"CPU registers, device controllers, and main memory contents.",y
What is the role of the tiny bootstrap loader?,It brings in the full bootstrap program from secondary storage.,y
Where is the full bootstrap program stored?,In 'boot blocks' at a fixed location on the device.,y
Define: boot disk,A disk with a boot partition and kernel to load for booting.,y
Define: system disk,"A storage device with a boot partition, which can store the OS for booting.",y
What does the bootstrap NVM code do to load the OS?,"It instructs the storage controller to read the boot blocks into memory (without device drivers loaded), then executes that code.",y
