"Which benefit of multithreading is primarily observed in multiprocessor architectures, where it allows different parts of a program to execute simultaneously on different processing cores?",Responsiveness,Resource Sharing,Economy,Scalability,Security,D,"The 'Scalability' benefit highlights 'Greater benefits in multiprocessor architectures, where threads can run in parallel on different processing cores.'"
"According to the text, what is a 'single-threaded' process or program?",A program that can only run on multi-core systems.,A process that has only one thread of control and executes on only one core at a time.,A process that is designed for parallel execution across multiple cores.,A program that shares its CPU utilization unit with other programs.,A process that manages multiple tasks concurrently.,B,The glossary defines 'single-threaded' as 'A process or program that has only one thread of control (and so executes on only one core at a time).'
A 'multithreaded' process or program is characterized by:,"Having a single thread of control, limiting it to one core.",Being unable to share resources with other processes.,"Having multiple threads of control, allowing multiple simultaneous execution points.","Exclusive execution on a single processor, regardless of available cores.",Being less efficient in terms of context switching than single-threaded processes.,C,"The glossary defines 'multithreaded' as 'A term describing a process or program with multiple threads of control, allowing multiple simultaneous execution points.'"
"Which of the following describes a thread as a basic unit of CPU utilization, encompassing its unique components and shared resources?","It is an entire process, including its own separate memory space for all resources.","It comprises a thread ID, a program counter (PC), a register set, and a stack, and shares its code section, data section, and OS resources with other threads of the same process.",It is an independent program that never shares any resources with other threads.,It is a light-weight process that can only execute one instruction at a time.,It is a hardware component responsible for managing CPU cores.,B,"The text and glossary comprehensively define a thread: 'A basic unit of CPU utilization; it comprises a thread ID, a program counter (PC), a register set, and a stack. It shares with other threads belonging to the same process its code section, data section, and other operating-system resources, such as open files and signals.'"
Which of the following is an example of an operating system component mentioned as being multithreaded?,User interface applications like web browsers.,Image thumbnail generators.,Linux kernel threads like `kthreadd` for device and memory management.,Traditional single-threaded processes.,Dedicated database servers running single-threaded operations.,C,"The text states, 'Most OS kernels are multithreaded (e.g., Linux kernel threads like `kthreadd` for device management, memory management, interrupt handling).'"
"What defines a ""multicore"" system in modern computing?",A system where multiple independent computers are networked together.,A single processing chip containing multiple computing cores that appear as separate CPUs.,A system with a single CPU that uses hyper-threading to run multiple logical threads.,A server farm with many distinct physical machines.,A system primarily designed for distributed computing across a wide area network.,B,"The text defines multicore systems as ""multiple computing cores on a single processing chip, appearing as separate CPUs to the operating system."""
What is a primary benefit of employing multithreaded programming in modern systems?,It simplifies the debugging process for parallel applications.,It reduces the need for complex operating system scheduling algorithms.,It enables more efficient utilization of multiple computing cores and improves concurrency.,It guarantees that all parts of an application will run purely in parallel.,It eliminates all data dependencies between tasks.,C,"The text states, ""Multithreaded programming enables more efficient use of these multiple computing cores and improves concurrency."""
"Which statement best describes a ""concurrent system""?",A system capable of performing multiple tasks simultaneously.,A system where tasks execute strictly one after another without any overlap.,"A system that supports more than one task by allowing all tasks to make progress, possibly through interleaving execution.",A system where all tasks must operate on different data sets.,A system exclusively found in multicore environments.,C,"The text defines a concurrent system as one that ""supports more than one task by allowing all tasks to make progress (e.g., interleaving execution on a single-core system)."""
"What is the defining characteristic of a ""parallel system""?","It only allows tasks to run sequentially, one after another.",It can perform more than one task simultaneously.,It primarily focuses on reducing memory usage for multiple tasks.,It necessitates all tasks to be independent of each other.,It is only achievable on single-core processors with hyper-threading.,B,"The text states that a parallel system ""Can perform more than one task simultaneously (e.g., assigning separate threads to each core on a multicore system)."""
"Regarding concurrency and parallelism, which statement is true?",Parallelism is always a prerequisite for concurrency.,Concurrency is impossible without a multicore system.,It is possible to achieve concurrency without true parallelism.,Concurrent systems inherently perform tasks simultaneously.,Parallelism implies only one task can make progress at a time.,C,"The text explicitly states, ""It is possible to have concurrency without parallelism."""
"One of the key programming challenges for multicore systems is ""Identifying tasks."" What does this challenge primarily involve?",Distributing the data accessed by tasks across separate cores.,Ensuring that parallel tasks perform equal work of equal value.,Examining data for dependencies between tasks to ensure synchronized execution.,"Finding areas in applications that can be divided into separate, concurrent, and ideally independent tasks.",Developing new operating system scheduling algorithms.,D,"The challenge of 'Identifying tasks' involves 'Finding areas in applications that can be divided into separate, concurrent, and ideally independent tasks.'"
"The ""Balance"" challenge in multicore programming refers to:",Balancing the workload between the CPU and GPU.,Ensuring that parallel tasks perform equal work of equal value to justify the use of separate execution cores.,Distributing data evenly across all available memory modules.,Balancing the number of threads with the number of processes.,Balancing the input/output operations with computational tasks.,B,The 'Balance' challenge is defined as 'Ensuring that parallel tasks perform equal work of equal value to justify the use of separate execution cores.'
"What is the main concern addressed by the ""Data splitting"" challenge in multicore programming?",Optimizing network bandwidth for data transfer.,Dividing the data accessed and manipulated by tasks to run on separate cores.,"Splitting a single large task into multiple smaller, independent tasks.",Separating application code from user data.,Ensuring that data is always processed sequentially.,B,The 'Data splitting' challenge involves 'Dividing the data accessed and manipulated by tasks to run on separate cores.'
"Why is ""Data dependency"" considered a key challenge in programming for multicore systems?",It restricts the ability to split data across multiple cores.,It makes identifying tasks much harder.,It requires examining data for dependencies between tasks and ensuring synchronized execution to accommodate these dependencies.,It complicates the process of balancing work among cores.,It is the primary cause of deadlocks in parallel programs.,C,The 'Data dependency' challenge necessitates 'Examining data for dependencies between tasks and ensuring synchronized execution to accommodate these dependencies.'
"Why is ""Testing and debugging"" particularly difficult for parallel programs on multicore systems?",They require specialized hardware not commonly available.,They always produce non-deterministic results.,"They have many possible execution paths, making comprehensive testing challenging.",The programming languages used for them are inherently more complex.,There are no adequate debugging tools available for multithreaded applications.,C,Testing and debugging is 'More difficult due to many possible execution paths in parallel programs.'
What is the primary purpose of Amdahl's Law?,To measure the power consumption of multicore processors.,To predict the optimal number of cores for any given application.,To identify potential performance gains from adding additional computing cores.,To calculate the maximum memory an application can use.,To determine the most efficient scheduling algorithm for parallel tasks.,C,Amdahl's Law is a formula that 'identifies potential performance gains from adding additional computing cores.'
"According to Amdahl's Law, what is the effect of the serial portion of an application on performance gains from adding computing cores?",The serial portion has no significant impact if enough cores are added.,The serial portion can disproportionately affect the performance gained.,"The serial portion primarily affects memory utilization, not speedup.","The smaller the serial portion, the less speedup is possible.",The serial portion only becomes relevant when N (number of cores) is very small.,B,"The text states, ""The serial portion of an application can disproportionately affect the performance gained by adding computing cores."""
"As the number of processing cores (N) approaches infinity, what does the speedup predicted by Amdahl's Law converge to?",Infinity,1,"1/S, where S is the serial portion",1-S,0,C,"The text states, ""As N approaches infinity, the speedup converges to 1/S."""
"An application is 75% parallel and 25% serial (S=0.25). According to Amdahl's Law, approximately what speedup can be expected on a 2-core system (N=2)?",1.2 times,1.6 times,2.0 times,2.28 times,4.0 times,B,Using the formula: speedup ≤ 1 / (S + (1 - S)/N) = 1 / (0.25 + (1 - 0.25)/2) = 1 / (0.25 + 0.75/2) = 1 / (0.25 + 0.375) = 1 / 0.625 = 1.6 times.
"Which characteristic best describes ""data parallelism""?","Distributes different tasks to different cores, with each task performing a unique operation.",Focuses on distributing subsets of the same data across multiple computing cores and performing the same operation on each core.,Primarily used for managing data dependencies between unrelated tasks.,A method to convert serial portions of an application into parallel ones.,A technique to balance the workload between CPU and GPU.,B,Data parallelism 'Focuses on distributing subsets of the same data across multiple computing cores. Performs the same operation on each core.'
An application divides a large array into four subsets and assigns each subset to a separate thread. Each thread then calculates the sum of elements within its assigned subset. This is an example of what type of parallelism?,Task parallelism,Instruction-level parallelism,Data parallelism,Concurrency without parallelism,Distributed parallelism,C,This scenario matches the example given for data parallelism: 'Summing elements of an array by dividing the array into subsets for different threads.'
"What is a defining feature of ""task parallelism""?",It requires all threads to operate on identical data sets.,"It distributes subsets of the same data across multiple cores, performing the same operation.","It distributes tasks (threads) across multiple computing cores, with each thread performing a unique operation.",It eliminates the need for data synchronization.,It is primarily concerned with reducing the serial portion of an application.,C,Task parallelism 'Distributes tasks (threads) across multiple computing cores. Each thread performs a unique operation.'
"Consider an application where one thread calculates the mean of an array, while another thread simultaneously calculates the standard deviation of the same array. This scenario is an example of:",Data parallelism,Implicit parallelism,Hybrid parallelism,Task parallelism,Control parallelism,D,This example aligns with task parallelism: 'Two threads performing unique statistical operations on the same array.'
Are data parallelism and task parallelism mutually exclusive?,"Yes, an application must choose one or the other exclusively.","No, they are often used interchangeably to refer to the same concept.","Yes, they operate on different hardware architectures.","No, applications may use a hybrid approach combining both.","Yes, one is for single-core systems and the other for multicore.",D,"The text states, 'Data and task parallelism are not mutually exclusive; applications may use a hybrid approach.'"
Which type of threads are supported above the kernel and managed without kernel support?,Kernel threads,Operating system threads,Hardware threads,User threads,System threads,D,"User threads are defined as being supported above the kernel and managed without kernel support, typically by a thread library in user space."
Which type of threads are supported and managed directly by the operating system?,Application threads,User threads,Kernel threads,Library threads,Process threads,C,Kernel threads are explicitly stated to be supported and managed directly by the operating system.
Which of the following contemporary operating systems are mentioned as supporting kernel threads?,Solaris and early Java,MS-DOS and Windows 95,"Windows, Linux, and macOS",Unix and BSD,Android and iOS,C,"The text explicitly states that 'Most contemporary operating systems (Windows, Linux, macOS) support kernel threads.'"
"In the Many-to-One multithreading model, how are user-level threads mapped to kernel threads?",Each user-level thread maps to a separate kernel thread.,Many user-level threads map to a smaller or equal number of kernel threads.,Many user-level threads map to one kernel thread.,One user-level thread maps to many kernel threads.,User-level threads are managed directly by hardware.,C,The Many-to-One model is defined as mapping many user-level threads to one kernel thread.
What is an advantage of the Many-to-One multithreading model regarding thread management?,It allows multiple threads to run in parallel on multicore systems.,"Thread management is done by the kernel, providing robust security.",It prevents the entire process from blocking on system calls.,"Thread management is done by the thread library in user space, making it efficient.",It dynamically adjusts the number of kernel threads based on application load.,D,"The text states that in the Many-to-One model, 'Thread management is done by the thread library in user space, making it efficient.'"
What is a significant drawback of the Many-to-One multithreading model concerning blocking system calls?,"Only the calling thread blocks, allowing others to continue.",The kernel automatically creates a new thread to handle the block.,The entire process blocks if a user thread makes a blocking system call.,Blocking system calls are not supported in this model.,It requires manual intervention to unblock the process.,C,A key drawback mentioned is that 'The entire process blocks if a user thread makes a blocking system call.'
Why is the Many-to-One model inefficient on multicore systems?,"It creates too many kernel threads, overwhelming the system.",It requires frequent context switching between user and kernel space.,Multiple user threads cannot run in parallel because only one kernel thread can access the kernel at a time.,"User threads are not preemptive, leading to starvation.",It lacks support for shared memory regions.,C,Another drawback highlighted is that 'Multiple user threads cannot run in parallel on multicore systems because only one kernel thread can access the kernel at a time.'
Which of the following is an example implementation of the Many-to-One multithreading model?,Windows XP,Linux distributions,"Green threads (Solaris, early Java)",macOS Ventura,Android OS,C,"The text provides 'Green threads (Solaris, early Java)' as an example of the Many-to-One model."
What is the primary reason the Many-to-One model is rarely used now?,It is too complex to implement.,It requires specialized hardware.,It is unable to leverage multicore systems.,It has severe security vulnerabilities.,It consumes excessive memory.,C,The text states it is 'Rarely used now due to inability to leverage multicore systems.'
How does the One-to-One multithreading model map user threads to kernel threads?,One user thread maps to many kernel threads.,Many user threads map to one kernel thread.,Each user thread maps to a kernel thread.,User threads are directly managed by hardware.,Kernel threads are mapped to multiple user threads.,C,The One-to-One model is defined as mapping 'each user thread to a kernel thread.'
Which advantage does the One-to-One model offer over the Many-to-One model concerning blocking system calls?,It completely eliminates the need for blocking system calls.,It allows a new process to be spawned when a thread blocks.,Another thread can run when a thread makes a blocking system call.,"Blocking calls are handled in user space, avoiding kernel intervention.",It queues all blocking calls until the original thread finishes.,C,An advantage of the One-to-One model is that 'Another thread can run when a thread makes a blocking system call.'
How does the One-to-One model facilitate parallel execution on multiprocessors?,It forces all threads to run on a single core sequentially.,It allows multiple threads to run in parallel on multiprocessors.,It dedicates a separate processor for each user thread.,It virtualizes processors to simulate parallelism.,It uses a single kernel thread to manage all parallel execution.,B,A key advantage of the One-to-One model is that it 'Allows multiple threads to run in parallel on multiprocessors.'
What is a major drawback of the One-to-One multithreading model?,It prevents the use of kernel-level scheduling.,"Creating a user thread requires creating a corresponding kernel thread, which can burden system performance.",It does not support blocking system calls.,It is less concurrent than the Many-to-One model.,It is exclusively used for single-core systems.,B,"The text states the drawback: 'Creating a user thread requires creating a corresponding kernel thread, which can burden system performance if too many kernel threads are created.'"
Which operating systems are mentioned as implementations of the One-to-One model?,Solaris and early Java,Green threads and macOS,Linux and Windows,FreeBSD and NetBSD,MS-DOS and Unix,C,"The text indicates that 'Linux, Windows operating systems' are implementations of the One-to-One model."
How does the Many-to-Many multithreading model map user-level threads to kernel threads?,It maps many user-level threads to a larger number of kernel threads.,It maps one user-level thread to one kernel thread.,It maps many user-level threads to a smaller or equal number of kernel threads.,It maps a fixed number of user-level threads to a fixed number of kernel threads.,It bypasses kernel threads entirely.,C,The Many-to-Many model is defined as multiplexing 'many user-level threads to a smaller or equal number of kernel threads.'
"In the Many-to-Many model, how is the number of kernel threads determined?",It is always fixed at one per processor core.,It is always equal to the number of user threads.,It is always determined by the operating system globally.,It can be specific to the application or machine.,It is decided solely by the hardware architecture.,D,"The text notes that 'The number of kernel threads can be specific to the application or machine (e.g., more kernel threads on a system with more cores).'"
What is an advantage of the Many-to-Many model for developers?,It eliminates the need for explicit thread creation.,Developers can create as many user threads as needed.,It enforces a strict limit on the number of user threads.,It ensures that all user threads are bound to a single kernel thread.,It simplifies debugging by reducing concurrency.,B,An advantage listed is that 'Developers can create as many user threads as needed.'
Which characteristic allows the Many-to-Many model to effectively utilize multiprocessors?,It maps all user threads to a single core.,Corresponding kernel threads can run in parallel on a multiprocessor.,It requires manual thread affinity settings.,It only supports sequential execution.,It relies on a single master kernel thread.,B,A stated advantage is that 'Corresponding kernel threads can run in parallel on a multiprocessor.'
How does the Many-to-Many model handle a thread performing a blocking system call?,The entire process blocks until the call completes.,The kernel suspends all other user threads.,The kernel can schedule another thread.,It automatically converts the blocking call to a non-blocking one.,It terminates the blocking thread and restarts it later.,C,"An advantage is that 'When a thread performs a blocking system call, the kernel can schedule another thread.'"
What is the defining feature of the Two-level model?,It maps two user-level threads to one kernel thread.,It is a variation of the Many-to-Many model that also allows a user-level thread to be bound to a kernel thread.,It provides two separate user-level thread libraries.,It uses two different types of kernel threads.,It requires two levels of hardware support for multithreading.,B,"The Two-level model is described as 'A variation where many user-level threads are multiplexed to a smaller or equal number of kernel threads, but also allows a user-level thread to be bound to a kernel thread.'"
What is a practical challenge associated with the Many-to-Many model?,It is rarely used in contemporary systems.,It is difficult to implement in practice.,"It requires a single, dedicated core for execution.",It cannot handle blocking system calls efficiently.,It offers less concurrency than the One-to-One model.,B,The text states that the Many-to-Many model is 'Difficult to implement in practice.'
"Why is the Many-to-Many model less common now, despite its advantages?",It has been replaced by more efficient single-threaded models.,Limiting kernel threads is less important with increasing core counts.,Its drawbacks outweigh its benefits in modern systems.,Contemporary concurrency libraries no longer support it.,It introduces excessive overhead for simple applications.,B,"The text explains it's 'Less common now as limiting kernel threads is less important with increasing core counts, but some contemporary concurrency libraries still use this model.'"
What is the primary function of a thread library?,To provide an API for managing process memory allocation.,To define the operating system's kernel architecture.,To offer an API for creating and managing threads.,To facilitate inter-process communication exclusively.,To compile source code into executable binaries.,C,"A thread library provides an API (Application Programming Interface) specifically for creating and managing threads, as stated in the text."
Which of the following best describes a user-space thread library?,It requires direct kernel support for all function calls.,Its function calls typically result in system calls to the kernel.,"It is implemented entirely in user space, with function calls being local rather than system calls.",It is exclusively used by operating systems like Windows.,It manages threads by mapping each user thread to a separate kernel thread.,C,"A user-space library is implemented entirely in user space, and its function calls are local, meaning they do not directly involve the kernel through system calls."
In which implementation approach do function calls typically result in system calls to the kernel?,User-space library,Kernel-level library,Hybrid threading model,Asynchronous threading,Java Virtual Machine (JVM) threads,B,"A kernel-level library is supported directly by the operating system, and its function calls typically result in system calls to the kernel for thread management."
Which of the following is NOT listed as a main thread library in the provided text?,POSIX Pthreads,Windows thread library,Java thread API,OpenMP,All of the above are listed.,D,"The text explicitly lists POSIX Pthreads, Windows, and Java as the main thread libraries. OpenMP is not mentioned."
How is the Java thread API typically implemented in relation to the host operating system?,It is an entirely user-space library independent of the host OS.,It always implements its own kernel-level thread management.,"It is implemented using the host system's thread library (e.g., Windows API on Windows, Pthreads on UNIX/Linux/macOS).","It runs threads only within the browser environment, separate from the OS.","It uses a proprietary, custom thread scheduler for all platforms.",C,"The Java thread API is implemented using the host system's thread library, such as the Windows API on Windows or Pthreads on UNIX/Linux/macOS systems."
"Regarding data sharing, how do POSIX Pthreads and Windows threads generally handle global data compared to Java threads?",All three explicitly arrange shared data access.,"POSIX and Windows do not share global data, while Java does.","POSIX and Windows automatically share global data, while Java requires explicit arrangement.","Java has global data similar to C/C++, while POSIX/Windows do not.",None of the above.,C,"POSIX and Windows share global data (declared outside functions) among all threads in the same process, whereas Java has no equivalent of global data and requires shared data access to be explicitly arranged."
"Which threading strategy describes a parent thread creating a child thread and then resuming execution independently, with little data sharing?",Synchronous threading,Parallel threading,Asynchronous threading,Cooperative threading,Detached threading,C,"Asynchronous threading involves the parent creating a child and resuming execution independently, leading to concurrent and independent execution with little data sharing. This is commonly used in multithreaded servers and responsive UIs."
"In synchronous threading, what is a characteristic behavior of the parent thread after creating child threads?","It immediately terminates, leaving child threads to run independently.","It resumes execution concurrently with the child threads, with no waiting.",It waits for all child threads to terminate before it resumes its own execution.,It delegates its remaining tasks to the child threads and then idles.,It only communicates with one child thread at a time.,C,"Synchronous threading is defined as the parent thread creating one or more child threads and waiting for them to terminate before it resumes. This strategy typically involves significant data sharing, such as the parent combining results from children."
What is Pthreads?,A specific implementation of a user-space thread library for macOS.,"The POSIX standard defining an API for thread creation and synchronization, which is a specification, not an implementation.",A proprietary thread library developed by Microsoft for Windows systems.,A Java framework for managing thread pools and asynchronous tasks.,A debugging tool for multi-threaded C++ applications.,B,"Pthreads is the POSIX standard (IEEE 1003.1c) defining an API for thread creation and synchronization. It is a specification, not an implementation itself."
Which header file is typically included in a C program that uses Pthreads?,windows.h,java.util.concurrent,pthread.h,threadlib.h,sys/thread.h,C,The text explicitly states that a basic Pthreads C program example includes 'pthread.h'.
"In Pthreads, which function is used by the parent thread to wait for a child thread to terminate?",pthread_create(),pthread_exit(),pthread_join(),pthread_terminate(),pthread_wait(),C,"The text states that the parent waits for the child thread to terminate using 'pthread_join(tid, NULL)'."
What is the typical method for a child thread to terminate its execution in Pthreads?,Returning from the runner function.,Calling `pthread_terminate()`.,Calling `pthread_exit(0)`.,By the parent thread calling `pthread_cancel()`.,Automatically when its stack is unwound.,C,The text indicates that the child thread terminates by calling 'pthread_exit(0)'.
Which header file is typically included when working with Windows threads?,pthread.h,windows.h,java.lang.Thread,unistd.h,sys/types.h,B,The text states that 'windows.h' is included when working with Windows threads.
"In Windows threads, which function is used to create a new thread?",CreateProcess(),pthread_create(),CreateThread(),new Thread(),StartThread(),C,"The 'CreateThread()' function is used for thread creation in Windows threads, as stated in the text."
How does a parent thread in Windows typically wait for a single child thread to complete its execution?,By calling `WaitForMultipleObjects()`.,By calling `pthread_join()`.,By calling `Sleep()` with a long duration.,"By calling `WaitForSingleObject(ThreadHandle, INFINITE)`.",Windows threads do not support parent-child waiting.,D,"To wait for a single thread in Windows, the function 'WaitForSingleObject(ThreadHandle, INFINITE)' is used."
What is the fundamental model of program execution in Java?,Process-based parallelism.,Single-threaded sequential execution.,The use of 'main()' method exclusively.,"Threads, with every Java program having at least one thread.",Distributed computing via network sockets.,D,"Threads are the fundamental model of program execution in Java, and every Java program has at least one thread (the 'main()' method)."
Which of the following is considered the more common technique for explicit thread creation in Java?,Creating a class derived from `Thread` and overriding its `start()` method.,Defining a class that implements the `Runnable` interface.,Using the `java.util.concurrent.Executor` framework directly without `Runnable`.,Calling `Thread.create()` with a lambda expression.,Extending the `Object` class and implementing a `run()` method.,B,The text states that defining a class that implements the `Runnable` interface is the more common technique for explicit thread creation in Java.
"When creating and executing a Java thread, what method is invoked on the `Thread` object to start the new thread's execution, rather than calling its `run()` method directly?",execute(),init(),run(),start(),go(),D,"After creating a `Thread` object, the `start()` method must be invoked. This allocates memory and initializes a new thread in the JVM, which then calls the `run()` method. Calling `run()` directly executes it in the current thread."
Which Java method is used to wait for the completion of a thread?,wait(),terminate(),join(),yield(),sleep(),C,"The `join()` method is used in Java to wait for thread completion, and it can throw an `InterruptedException`."
What is a key benefit of the Java Executor Framework (`java.util.concurrent`)?,It strictly enforces single-threaded execution.,It provides direct access to kernel-level thread management.,It separates thread creation from execution and offers greater control over thread management.,It compiles Java code into native machine code for faster thread execution.,It automatically converts synchronous tasks into asynchronous ones.,C,"The Java Executor Framework provides greater control over thread creation and communication, separating thread creation from execution, and offering benefits like returning results."
"How can a Java thread return a result from its execution, given that the `run()` method cannot return a value directly?",By declaring shared global data.,By using the `Thread.getReturnValue()` method.,By implementing the `Callable` interface and retrieving results as `Future` objects.,Results can only be returned through asynchronous callbacks.,By extending the `Thread` class and overriding the `returnResult()` method.,C,"The `Callable` interface, similar to `Runnable`, allows returning a result, which is then retrieved as a `Future` object using its `get()` method. The `run()` method of `Runnable` cannot return a result directly."
"Which term is synonymous with 'Lambda expressions' in the context of Java, according to the glossary?",Closure,Synchronous threading,Future object,Thread identifier,API,A,"The glossary defines 'closure' as a construct to provide a simple syntax for parallel applications, also known as Lambda expressions in Java."
What is the primary goal of 'implicit threading'?,To allow application developers full manual control over thread creation and management for maximum optimization.,To eliminate the need for any form of synchronization mechanisms in multithreaded applications.,To transfer the responsibility of thread creation and management from application developers to compilers and run-time libraries.,To ensure that all tasks always run on a single thread to avoid concurrency issues.,To strictly enforce a one-to-one mapping model between tasks and threads.,C,Implicit threading is a strategy that addresses the complexity of multithreaded application design by transferring thread creation and management from application developers to compilers and run-time libraries.
"In the context of implicit threading, what is the primary role of application developers?","To meticulously manage thread lifecycles, including creation, synchronization, and termination.",To identify tasks or functions within the application that can be executed in parallel.,To directly implement the many-to-many model for mapping user-level threads to kernel threads.,To write custom run-time libraries for thread scheduling.,To debug deadlocks and race conditions that arise from explicit thread management.,B,"With implicit threading, developers focus on identifying tasks (functions) that can run in parallel, while libraries handle the details of thread creation and management."
Which of the following is NOT a problem associated with creating a new thread for every request in a system like a web server?,Significant time and overhead involved in creating and discarding threads for each request.,The potential for an unbounded number of concurrent threads to exhaust system resources like CPU and memory.,Increased complexity in separating task definition from thread creation mechanics.,Difficulty in limiting the number of concurrently executing threads.,The inability to service requests immediately with existing threads.,C,"The text states that thread pools (which solve the 'new thread per request' problem) allow for separation of task definition from thread creation mechanics, implying this is a *benefit* of thread pools, not a problem with creating a new thread per request. The other options are listed problems."
What is a 'thread pool'?,A collection of tasks waiting to be assigned to newly created threads.,A mechanism for terminating threads immediately after their work is done to free up resources.,"A number of threads created at process startup and placed in a pool, waiting for work.",A system where each incoming request always creates a brand new thread.,A specific type of data structure used for inter-thread communication.,C,"A thread pool involves creating a number of threads at startup and placing them into a pool, where they wait for work."
Which of the following describes how a thread pool typically handles a new request if no thread is immediately available?,It creates a new thread on demand to service the request.,It immediately rejects the request.,The task is placed into a queue to await an available thread.,"It terminates an existing, busy thread to free up resources.",It sends the request to another server.,C,"If no thread is available, the task is queued until a thread becomes free to service it."
One of the key benefits of using a thread pool is that it 'limits the number of concurrent threads'. What specific problem does this address?,Ensuring faster request servicing by avoiding thread creation overhead.,Allowing for flexible scheduling options like delayed or periodic execution.,Preventing the exhaustion of system resources such as CPU and memory.,Separating the definition of a task from the mechanics of thread creation.,Simplifying the debugging of synchronization issues and deadlocks.,C,"Limiting the number of concurrent threads directly prevents the exhaustion of system resources (CPU, memory), which is a common problem with creating an unbounded number of threads."
"In the Windows Thread Pool API, which function is used to submit a function to be executed by a thread from the pool?",CreateThread(),SubmitTaskToPool(),QueueUserWorkItem(),ThreadPoolExecute(),DispatchThreadFunction(),C,The Windows Thread Pool API uses functions like `QueueUserWorkItem()` to submit a function for execution by a thread from the pool.
Which Java thread pool architecture provided by `java.util.concurrent` creates an unbounded pool that reuses threads as needed?,`newSingleThreadExecutor()`,`newFixedThreadPool(int size)`,`newScheduledThreadPool()`,`newCachedThreadPool()`,`newVirtualThreadExecutor()`,D,"The `newCachedThreadPool()` method creates an unbounded pool that reuses threads, as stated in the text."
