What is the fundamental definition of a process?,A file stored on a disk containing executable code.,A program in execution.,A passive entity waiting to be loaded into memory.,A set of commands executed by a batch system.,A CPU register indicating the next instruction location.,B,The text explicitly defines a process as 'Program in execution'.
What is the primary purpose of the Process Control Block (PCB)?,To store the executable code of a program.,To manage dynamically allocated memory for a process.,To act as a data structure in the OS representing each process and containing its essential information.,To function as a CPU register indicating the next instruction.,To define the temporary data for function calls.,C,The text describes the PCB as a 'Data structure in OS representing each process' that 'Contains information' and 'Serves as repository for data needed to start/restart a process'.
Which of the following pieces of information is NOT typically stored within a Process Control Block (PCB)?,Process state.,Program counter.,CPU registers.,The entire executable code of the process.,I/O status information.,D,"The PCB stores metadata about the process, such as its state and resource allocation, but not the entire executable code itself, which resides in the process's text section in memory."
"According to the text, what is a thread?","A complete, independent process with its own PCB.",A program stored as an executable file on disk.,A passive entity that becomes active when loaded into memory.,"A process control structure that is an execution location, allowing a process to perform multiple tasks concurrently if multithreaded.",A CPU register holding the address of the next instruction.,D,"The glossary defines a 'thread' as 'A process control structure that is an execution location. A process with a single thread executes only one task at a time, while a multithreaded process can execute a task per thread.' The main text also notes multithreaded processes 'perform multiple tasks concurrently'."
"What is a significant benefit of using multithreaded processes, especially on modern systems?",It reduces the memory footprint of the process by eliminating the need for a heap section.,It allows for sequential execution of tasks on single-core systems only.,It enables parallel execution of multiple tasks within a single process on multicore systems.,It simplifies the process of creating new processes from existing programs.,It ensures that only one process can run at any given instant on a processor core.,C,"The text states: 'Multithreaded process: multiple threads of execution, performs multiple tasks concurrently. Especially beneficial on multicore systems for parallel execution.'"
What entity does the Operating System (OS) primarily schedule onto available processing cores?,Only entire processes.,Only system code.,Threads.,Executable files directly.,Program counters.,C,The text explicitly states: 'OS schedules threads onto available processing cores'.
How does the introduction of multiple threads of control within a process impact the Process Control Block (PCB)?,The PCB is replaced by a Thread Control Block entirely.,The PCB remains unchanged as threads do not require specific information.,The PCB is expanded to include per-thread information.,"Threads each have their own independent PCB, separate from the process PCB.","The PCB only stores information for the main thread, ignoring others.",C,The text states: 'PCB expanded to include per-thread information' when discussing multithreaded processes.
"In the context of the provided glossary, what does the term ""job"" refer to?",Any program loaded into memory.,A unit of work for a single-threaded process.,A set of commands or processes executed by a batch system.,The active entity of a program.,A CPU register used for scheduling.,C,The glossary defines 'job' as 'A set of commands or processes executed by a batch system'.
What is the function of the program counter?,To store global variables.,To manage dynamically allocated memory.,To indicate the main memory location of the next instruction to load and execute.,To define the current state of a process.,To hold information about I/O devices.,C,The glossary defines 'program counter' as 'A CPU register indicating the main memory location of the next instruction to load and execute'.
What is an executable file?,A file containing source code that needs to be compiled.,A file that stores temporary data for function calls.,A file containing a program that is ready to be loaded into memory and executed.,A file used by the operating system to store process states.,A file that holds dynamically allocated memory.,C,The glossary defines 'executable file' as 'A file containing a program that is ready to be loaded into memory and executed'.
"What does the ""state"" of a process encompass?",Only its executable code in the text section.,Its program counter and CPU registers exclusively.,Its current activity as well as its associated memory and disk contents.,Whether it is a user process or an OS process.,Its allocated I/O devices only.,C,"The glossary defines 'state' as 'The condition of a process, including its current activity as well as its associated memory and disk contents'."
What is the primary objective of multiprogramming in an operating system?,To ensure user interaction by frequently switching CPU cores.,To minimize the number of processes in memory.,To maximize CPU utilization by always having a process running.,To facilitate the removal of processes from memory to disk.,To reduce the complexity of memory management during context switches.,C,The text states that the 'Multiprogramming objective' is to 'Maximize CPU utilization by always having a process running'.
Which of the following best describes the objective of time sharing in an operating system?,To keep as many processes in memory as possible to maximize throughput.,To ensure that I/O-bound processes receive more CPU time than CPU-bound processes.,To switch the CPU core among processes frequently to enable user interaction.,To reduce the overhead associated with context switches.,To exclusively run one process at a time on a single core.,C,The text defines the 'Time sharing objective' as to 'Switch CPU core among processes frequently for user interaction'.
What is the main role of a process scheduler?,To manage the allocation of memory to new processes.,To select an available process for execution on a core.,To perform I/O operations on behalf of processes.,To convert I/O-bound processes into CPU-bound processes.,To save the context of a process after it terminates.,B,"According to the text and glossary, the 'process scheduler' 'Selects an available process for execution on a core'."
The 'degree of multiprogramming' refers to what aspect of an operating system?,The number of CPU cores available for process execution.,The frequency at which the CPU scheduler executes.,The total number of processes created since system startup.,The number of processes currently residing in memory.,The ratio of I/O-bound processes to CPU-bound processes.,D,The text and glossary define 'Degree of multiprogramming' as 'The number of processes currently in memory' or 'The number of processes in memory'.
Which characteristic best defines an I/O-bound process?,It spends more time performing computations than I/O.,It is always prioritized over CPU-bound processes.,It spends more time doing I/O than computations.,It typically runs in the background with no user interaction.,It requires frequent context switches to complete its tasks.,C,The text defines an 'I/O-bound process' as one that 'Spends more time doing I/O than computations'.
A CPU-bound process is characterized by which of the following?,It frequently waits for external events or user input.,It spends more time executing on CPU than it does performing I/O.,Its execution is primarily dependent on the speed of the disk.,It is often 'swapped out' to disk to free up memory.,It is designed to maximize CPU utilization by performing minimal computation.,B,"The text states that a 'CPU-bound process' 'Spends more time doing computations than I/O' or, from the glossary, 'Spends more time executing on CPU than it does performing I/O'."
What does the 'ready queue' in process scheduling typically contain?,Processes that are currently performing I/O operations.,Processes that have terminated and are waiting to be cleaned up.,Processes that are ready and waiting for CPU execution.,Processes that have been 'swapped out' to disk.,Processes waiting for a child process to complete.,C,The text defines the 'Ready queue' as 'Processes ready and waiting for CPU execution (linked list of PCBs)' and the glossary states 'The set of processes ready and waiting to execute'.
A 'wait queue' holds processes that are in what state?,Ready to be dispatched to the CPU.,"Waiting for a specific event to occur, such as I/O completion.",Currently executing on a CPU core.,In the process of being terminated.,Temporarily removed from memory to disk.,B,"The text defines the 'Wait queue' as 'Processes waiting for a specific event (e.g., I/O completion)'."
"Consider the typical process flow presented. If a running process experiences a time slice expiration, to which state does it typically transition next?",New,Terminated,I/O wait,Ready,Dispatched,D,"The 'Process flow' diagram indicates that from 'Dispatched (Running)', an 'Interrupt/Time slice expire' leads back to the 'Ready' state."
"What is the primary function of the CPU scheduler, and how frequently does it operate?",It manages memory allocation and operates only when memory is overcommitted.,"It selects a process from the ready queue, allocates a CPU core, and executes frequently (e.g., every 100ms or more).",It handles I/O requests and operates only when a process requests I/O.,It saves the context of a process and operates only when an interrupt occurs.,It loads processes into memory from disk and operates only during system startup.,B,"The 'CPU Scheduling' section states the 'CPU scheduler's' role is to 'Selects process from ready queue, allocates CPU core' and that it 'Executes frequently (e.g., every 100ms or more)' and 'May forcibly remove CPU from a process'."
What is 'swapping' primarily used for in operating systems?,To switch the execution context between two processes.,To move processes between the ready queue and the wait queue.,"To temporarily remove a process from memory to disk to reduce the degree of multiprogramming, typically when memory is overcommitted.",To optimize the CPU's ability to switch between I/O-bound and CPU-bound processes.,To permanently store terminated processes for later analysis.,C,"The 'Swapping' section explains it as an 'Intermediate scheduling form' where a process is 'Remove[d] process from memory to disk (""swapped out"") to reduce degree of multiprogramming' and it's 'Typically used when memory is overcommitted'."
"What event typically causes the operating system to change the CPU core task to a kernel routine, initiating a potential context switch?",A process completing all its computations.,The system running out of available disk space.,An interrupt.,A process transitioning from the New state to the Ready state.,The degree of multiprogramming falling below a threshold.,C,The 'Context Switch' section states: 'Interrupts cause OS to change CPU core task to kernel routine'.
"In the context of process execution, what does 'context' refer to?",The current state of I/O operations being performed by the process.,The priority level assigned to the process by the scheduler.,"The state of its execution, including CPU registers, program counter, and memory-management info like stack and heap.","The queue in which the process is currently residing (e.g., ready or wait).",The total time the process has spent executing on the CPU since creation.,C,"The text explicitly states that 'context' includes 'CPU registers, process state, memory-management info' and the glossary defines 'context' as 'the state of its execution, including the contents of registers, its program counter, and its memory context, including its stack and heap'."
What is involved in a 'state save' operation during a context switch?,Copying a process's saved context from disk to memory.,Copying the current CPU state (process context) of the running process to its PCB.,Allocating new memory for a process's stack and heap.,Updating the process's entry in the ready queue.,Signaling an I/O completion event for a waiting process.,B,The text states 'State save: Copying current CPU state' and the glossary adds 'Copying a process's context to save its state in order to pause its execution in preparation for putting another process on the CPU'.
The 'state restore' operation primarily involves which action?,Moving a process from the ready queue to the wait queue.,Reloading the operating system kernel after an interrupt.,Copying a process's context from its saved location to the CPU registers to resume execution.,Reducing the degree of multiprogramming by 'swapping out' a process.,Saving the state of a CPU-bound process before it goes into I/O wait.,C,The text states 'State restore: Copying saved context to resume operations' and the glossary elaborates 'Copying a process's context from its saved location to the CPU registers in preparation for continuing the process's execution'.
Which statement accurately describes a 'context switch'?,It is a process that is designed to perform heavy computations.,It is the act of moving a process between main memory and a backing store.,"It is the switching of the CPU from one process to another, requiring a state save of the old process and a state restore of the new process.",It is a mechanism for a process to request I/O services from the operating system.,It is a visual representation of process flow through various queues.,C,"The text states 'Context switch: Switching CPU core from one process to another (state save old, state restore new)' and the glossary provides a similar definition emphasizing 'state save' and 'state restore'."
Which of the following statements about context switches is true?,They are considered useful work because they advance a process's execution.,Their speed is primarily determined by the number of CPU cores available.,"They contribute to pure overhead, as no useful work is done during the switch.",Hardware support for multiple register sets typically slows down context switches.,More complex OS/memory management always leads to faster context switches.,C,The text clearly states that a context switch is 'Pure overhead (no useful work done during switch)'.
What factor can significantly impact the speed of a context switch?,The type of process (I/O-bound vs. CPU-bound).,The number of processes currently in the wait queue.,"Memory speed, the number of registers to copy, and special instructions.",The overall degree of multiprogramming in the system.,Whether the process is 'swapped in' or 'swapped out'.,C,"The text lists 'Speed varies (memory speed, registers to copy, special instructions)' as factors affecting context switch speed."
"How can hardware support, specifically multiple register sets, affect context switch performance?","It has no impact, as context switching is purely a software operation.",It increases the overhead of context switching by requiring more complex kernel routines.,It can speed up context switches by reducing the need for extensive state saving and restoring.,"It forces the OS to use swapping more frequently, thus slowing down overall performance.","It causes more interrupts, leading to more frequent context switches but not necessarily faster ones.",C,The text states: 'Hardware support (multiple register sets) can speed up' context switches.
"In the process flow, what does it mean for a process to be 'dispatched'?",It has just completed an I/O operation and is returning to the ready queue.,It has been selected by the process scheduler to be executed next on a CPU core.,It has been moved from main memory to backing store.,It is waiting for an event to occur in a wait queue.,It is in the process of being terminated.,B,The process flow shows 'Dispatched (Running)' and the glossary defines 'dispatched' as 'Selected by the process scheduler to be executed next'.
Which of the following statements accurately describes the fundamental nature of processes regarding their execution and lifecycle?,Processes are static entities that must be predefined before system startup and cannot be deleted.,"Processes can only execute sequentially, one after another, and are created at fixed intervals.","Processes can execute concurrently, and are created and deleted dynamically by the operating system.",Processes are created only by the operating system kernel and cannot be terminated by user applications.,Processes exist only as long as the parent process is active and cannot operate independently.,C,The text states that 'Processes can execute concurrently; created and deleted dynamically.' and 'OS provides mechanisms for process creation and termination.'
"When a parent process creates child processes, what is the typical hierarchical structure formed?","A linear chain of processes, where each child can only have one parent and one child.","A circular queue, where processes are linked in a continuous loop.","A flat structure, where all processes are independent and have no direct relation.","A tree structure, where parent processes create child processes.","A network graph, with arbitrary connections between any two processes.",D,"The text explicitly states that a parent process creates child processes, forming a 'tree'."
What is a 'process identifier (pid)'?,A network address used for inter-process communication.,A unique value for each process in the system that can be used as an index to access various attributes of a process within the kernel.,A security token used to grant or deny access to system resources.,A memory address pointing to the start of the process's code segment.,A descriptive name assigned by the user to identify a process.,B,The glossary defines 'process identifier (pid)' as 'A unique value for each process in the system that can be used as an index to access various attributes of a process within the kernel.'
Which of the following is NOT an 'execution possibility' for a parent process after creating a child process?,The parent executes concurrently with its children.,The parent waits until all children terminate.,"The parent immediately terminates upon child creation, transferring control to the child.",The parent creates a child and then continues its own execution path.,The parent creates multiple children and manages their lifecycle.,C,The text lists two execution possibilities: 'Parent executes concurrently with children' and 'Parent waits until children terminate.' The option C is not listed as a possibility for the parent's execution behavior.
"In the context of process creation, what are the two 'address-space possibilities' for a child process?","Child has a smaller address space than the parent, or a larger one.","Child's address space is allocated on a different physical memory region, or the same one.","Child is a duplicate of the parent (same program/data), or the child has a new program loaded.","Child's address space is shared with other children, or it is entirely private.","Child's address space is read-only, or it is read-write.",C,The text states the 'Address-space possibilities' are: 'Child is a duplicate of parent (same program/data)' and 'Child has a new program loaded.'
"In UNIX/Linux, what is the primary function of the `fork()` system call during process creation?",To replace the current process's memory space with a new program.,To create a new process that is a copy of the parent's address space.,To terminate the calling process and return an exit status.,To allow the parent process to wait for the termination of a child process.,To load a specified program into the child's address space directly at creation.,B,The text states that `fork()` 'creates new process (child) as copy of parent's address space.'
"After a successful `fork()` call in UNIX/Linux, what are the return values for the child and parent processes, respectively?","Parent gets 0, child gets child's pid.",Both parent and child get 0.,"Child gets 0, parent gets child's pid.",Both parent and child get the same positive integer.,"Parent gets -1, child gets 0.",C,"The text specifies: '`fork()` return: 0 for child, child's pid for parent.'"
What is the purpose of the `exec()` system call in UNIX/Linux after a `fork()` call?,It creates a new process that is a duplicate of the calling process.,It allows the parent process to wait for the child's termination.,It replaces the process's memory space with a new program.,It returns the process ID of the calling process.,It deallocates all resources held by the calling process.,C,The text states `exec()` 'replaces process's memory space with new program (loads binary).'
Which of the following attributes does a child process typically inherit from its parent in UNIX/Linux?,"Only the program code, not data.",Only the process ID (pid).,"Privileges, scheduling attributes, and open files.",The parent's current execution point and register state.,None; all attributes are reset for the child.,C,"The text lists that the 'Child inherits privileges, scheduling attributes, open files.'"
"In Windows, which function is primarily used to create a new process and directly load a specified program into its address space?",fork(),exec(),CreateProcess(),WaitForSingleObject(),TerminateProcess(),C,"The text states '`CreateProcess()`: similar to `fork()`, but loads specified program into child's address space at creation.'"
What happens when a process uses `exit()` to terminate itself?,It pauses indefinitely until another process explicitly resumes it.,It returns a status value to a waiting parent process and its resources are deallocated.,"It is immediately put into a 'suspended' state, retaining all its resources.",It signals the OS to create a duplicate of itself before terminating.,"It automatically becomes an orphan process, even if its parent is still running.",B,"The text explains, 'Process finishes, uses `exit()` to ask OS to delete it. Returns status value to waiting parent (via `wait()`). All process resources deallocated.'"
Which of the following is a valid reason for a parent process to terminate its child process?,The child process requested a change in its process ID.,The child process successfully completed its assigned task.,The child process exceeded its allocated resource usage.,The parent process wishes to share more resources with the child.,The child process initiated a new network connection.,C,The text lists 'Child exceeded resource usage' as a reason for a parent terminating a child.
What is 'cascading termination'?,A process's ability to terminate multiple unrelated processes concurrently.,A mechanism where a child process can terminate its parent process.,"A technique in which, when a process is ended, all of its children are ended as well.",The termination of a process due to an unhandled error or exception.,The process of a parent passing its exit status to its children upon termination.,C,"The glossary defines 'cascading termination' as 'A technique in which, when a process is ended, all of its children are ended as well.' The main text also notes it is 'OS initiated'."
"In UNIX/Linux, what defines a 'zombie process'?",A process that is still executing but is unresponsive to user input.,A child process whose parent terminated without calling `wait()`.,A process that has terminated but whose parent has not yet called `wait()` to collect its state and accounting information.,A process that is waiting for an I/O operation to complete indefinitely.,A process that has been suspended by the operating system due to low memory.,C,The glossary defines 'zombie' as 'A process that has terminated but whose parent has not yet called wait() to collect its state and accounting information.'
"In UNIX/Linux, what defines an 'orphan process'?",A process that has terminated due to a critical error.,A process that runs in the background without a controlling terminal.,A child of a parent process that terminates in a system that does not require a terminating parent to cause its children to be terminated.,A process that has been explicitly detached from its parent by the `disown` command.,"A process that consumes excessive resources, thus becoming isolated.",C,The glossary defines 'orphan' as 'The child of a parent process that terminates in a system that does not require a terminating parent to cause its children to be terminated.'
"In UNIX/Linux, what role does the `init` (or `systemd`) process play concerning orphan processes?",It immediately terminates all orphan processes to free up resources.,It sends a signal to orphan processes to restart them under a new parent.,It becomes the new parent for orphan processes and periodically calls `wait()` to clean them up.,It changes the process ID of orphan processes to a random value.,It places orphan processes into a special queue for manual user intervention.,C,"The text states '`init` (or `systemd`) becomes new parent for orphans, periodically calls `wait()` to clean up.'"
Which of the following Android process types is considered the 'most important' and least likely to be terminated by the OS for resource reclamation?,Empty process,Background process,Service process,Visible process,Foreground process,E,"The Android process hierarchy section lists Foreground process as 'Visible, user interacting (most important)' and states 'Android terminates processes from least to most important'."
"In the Android process hierarchy, which process type is defined as 'not directly visible, but performing activity foreground process refers to'?",Foreground process,Visible process,Service process,Background process,Empty process,B,"The text defines 'Visible process' as 'Not directly visible, but performing activity foreground process refers to.'"
"When Android terminates processes to reclaim resources, in what order does it typically terminate them?",From most important to least important.,From processes with the largest memory footprint to the smallest.,From least important to most important.,"Randomly, to ensure fairness among applications.",Only processes that have been idle for a long time are terminated.,C,"The text states, 'Android terminates processes from least to most important to reclaim resources.'"
What is the primary purpose of Interprocess Communication (IPC)?,Managing CPU scheduling for a single process,Enabling communication and data exchange between different processes,Allocating primary memory resources exclusively,Handling I/O operations for peripheral devices,Defining the various states a process can be in,B,"Interprocess Communication (IPC) is defined as the communication between processes, facilitating their ability to exchange data."
Which characteristic accurately describes 'independent processes'?,They rely on shared memory for all operations.,They share data and frequently affect each other's execution.,They do not share data with other processes.,They strictly require an IPC mechanism to operate.,Their primary goal is computation speedup through parallelization.,C,Independent processes are characterized by having no shared data with other processes.
What defines 'cooperating processes'?,They always execute sequentially without overlap.,They never interact or exchange any information.,They share data and can affect each other's operations.,They are exclusively designed for single-core processor systems.,They are typically used to reduce system modularity.,C,Cooperating processes are defined by their ability to share data and influence each other's execution.
Why do cooperating processes require an IPC mechanism?,To enforce strict isolation between them.,To prevent any form of data sharing.,To exchange data and information.,To minimize their overall system resource usage.,To ensure they run on separate physical machines.,C,Cooperating processes need an Interprocess Communication (IPC) mechanism to facilitate the exchange of data between them.
Which of the following is a primary reason for process cooperation related to shared information?,Eliminating the need for any form of shared resources.,"Information sharing, allowing concurrent access to data.",Strictly enforcing sequential execution of tasks.,Reducing the total number of processes in a system.,Decreasing the overall system's security posture.,B,"Information sharing, which involves concurrent access to shared data (e.g., copy/paste), is a key reason for process cooperation."
How does 'computation speedup' serve as a reason for process cooperation?,By ensuring tasks run on a single CPU core only.,"By breaking a task into subtasks for parallel execution, often requiring multiple cores.",By prioritizing single-threaded applications over multi-threaded ones.,By minimizing the total number of operations performed by the system.,By preventing any process from affecting another's execution.,B,"Computation speedup is achieved when a task is divided into subtasks that can be executed in parallel, often requiring multiple cores, making cooperation essential."
"In the context of process cooperation, what is the benefit of 'modularity'?","It concentrates all system functions into a single, monolithic process.",It mandates that processes operate entirely in isolation.,It divides system functions into separate processes or threads.,It eliminates the need for any form of interprocess communication.,It simplifies system design by reducing the total number of components.,C,"Modularity contributes to process cooperation by allowing system functions to be divided into separate, manageable processes or threads."
What are the two fundamental Interprocess Communication (IPC) models mentioned?,Pipes and Sockets,Shared Memory and Message Passing,Files and Databases,Signals and Semaphores,Remote Procedure Calls and Local Procedure Calls,B,The text identifies Shared Memory and Message Passing as the two fundamental IPC models.
Which of the following best defines 'shared memory' in IPC?,A dedicated hardware component for direct CPU-to-CPU communication.,A temporary buffer used exclusively by the operating system kernel.,A section of memory shared by multiple processes for communication.,A network protocol for transferring large data blocks between remote servers.,A method where processes send discrete packets of information to each other.,C,Shared memory is defined as a section of memory shared by multiple processes for interprocess communication.
How do processes typically exchange information when utilizing the Shared Memory IPC model?,By making repeated system calls for each data transfer.,By sending predefined messages through a kernel intermediary.,By directly reading from and writing to the shared memory region.,By encrypting and decrypting data packets for secure exchange.,By using network interfaces for local communication.,C,"In the shared memory model, processes exchange information by directly reading from and writing to the designated shared region."
What is a key performance advantage of Shared Memory over Message Passing?,It is always slower for any data size.,It requires more kernel intervention for every access.,It is faster after setup because it requires no kernel intervention for access.,It is only faster in highly distributed systems.,Its speed is primarily limited by network bandwidth.,C,Shared Memory is faster than Message Passing after its initial setup because data access occurs directly without repeated kernel intervention.
Which statement accurately describes the role of kernel intervention in the Shared Memory IPC model for data access?,The kernel intervenes for every single read or write operation.,"Kernel intervention is typically needed only for initial setup, not for subsequent data access.",It always requires more kernel intervention than Message Passing.,Kernel intervention is completely absent in the Shared Memory model.,The kernel intervenes only when data conflicts occur.,B,"A significant feature of Shared Memory is that, after the initial setup, processes can access the shared region directly without continuous kernel intervention."
What is the primary method of communication in the Message Passing IPC model?,Direct manipulation of a common memory segment.,Exchanging information through messages sent and received between processes.,Utilizing a central database for data storage.,Sharing files via a network file system.,Establishing a direct hardware link between communicating processes.,B,Message passing involves communication via messages exchanged between processes.
For what type of data amounts is Message Passing considered most useful?,"Extremely large, continuous data streams.","Smaller data amounts, especially when avoiding conflicts.",Only encrypted data for secure transactions.,Data requiring very high throughput and low latency.,Unstructured data without specific formats.,B,Message passing is noted as useful for smaller data amounts and situations where avoiding conflicts is desirable.
In which type of system is the Message Passing IPC model generally easier to implement?,"Highly centralized, single-processor systems.",Systems with very limited memory resources.,Distributed systems.,Systems where all processes reside in the same address space.,Legacy systems with no network capabilities.,C,Message passing is explicitly stated to be easier to implement in distributed systems.
What is a characteristic of Message Passing regarding kernel intervention and speed compared to Shared Memory?,It is generally faster than shared memory due to less system call overhead.,"It typically uses system calls (kernel intervention), making it slower than shared memory.","It completely bypasses the kernel for all communication, leading to high speed.",Its speed is identical to shared memory in all scenarios.,Kernel intervention only occurs during system boot-up.,B,"Message passing typically uses system calls, involving kernel intervention, which generally makes it slower than shared memory."
"According to the provided text, what is the function of a 'browser' process?",To compile and execute programming code.,To manage all network connections and traffic.,To accept a URL and display its contents on a screen.,To handle the storage and retrieval of user data.,"To provide a secure, contained environment for other processes.",C,A browser is defined as a process that accepts input in the form of a URL and displays its contents on a screen.
What is the primary responsibility of a 'renderer' process?,To act as an add-on functionality to expand a process.,To contain logic for rendering contents onto a display.,To manage the secure environment of other processes.,To handle interprocess communication exclusively.,To translate URLs into network addresses.,B,A renderer is a process that contains logic for rendering contents (such as web pages) onto a display.
What is a 'plug-in' defined as?,A standalone operating system component.,A core security feature of a browser.,An add-on functionality that expands the primary functionality of a process.,A method for interprocess communication.,A type of shared memory segment.,C,"A plug-in is defined as an add-on functionality that expands the primary functionality of a process (e.g., a web browser plug-in)."
What does the term 'sandbox' refer to in the context provided?,A type of database used for storing system configurations.,A physical server designed for high-performance computing.,"A contained environment, such as a virtual machine.",A networking protocol for secure data transmission.,A specific type of interprocess communication mechanism.,C,"A sandbox is defined as a contained environment (e.g., a virtual machine)."
"In shared-memory systems, how do communicating processes typically establish a shared memory region?",By sending messages through a kernel pipe.,By directly accessing each other's private address space.,By agreeing upon and creating a dedicated memory segment accessible to both.,By requesting the operating system to duplicate their address spaces.,By using network sockets for inter-process communication.,C,"The text states that 'Communicating processes establish a shared memory region', implying a cooperative creation process."
Where is the shared memory region typically located initially after its creation?,In a dedicated kernel memory pool.,Within the address space of the process that created it.,"In a separate, globally accessible memory segment outside of any process's address space.",Split evenly across the address spaces of all participating processes.,In a temporary file on the disk for faster access.,B,"The text specifies, 'Region typically in address space of creator process.'"
How do other processes gain access to a shared memory region after it has been established?,They automatically inherit access upon creation.,They request a copy of the region from the creator process.,They attach the shared memory region to their own address space.,They use special system calls to bypass memory protection.,They communicate exclusively through the creator process.,C,"The text states, 'Other processes attach it to their address space.'"
What happens to operating system restrictions on memory access when processes agree to use a shared memory region?,They are temporarily increased to ensure data integrity.,They are entirely bypassed without any OS involvement.,They are removed by mutual agreement among the communicating processes.,"They are enforced by the OS, requiring explicit permissions for every access.",They are replaced by hardware-level memory protection mechanisms.,C,"The text indicates, 'OS restriction on memory access removed by agreement.'"
"When using shared memory, which of the following responsibilities fall directly on the communicating processes?",Managing the physical allocation of the shared memory region.,Enforcing operating system-level memory access permissions.,"Determining the form and location of data, and synchronizing concurrent access.",Handling the context switching between processes accessing the region.,Automatically detecting and resolving memory conflicts without explicit programming.,C,"The text states, 'Processes responsible for data form, location, and concurrent access synchronization.'"
The Producer-Consumer problem is a common paradigm used to illustrate what concept in operating systems?,Deadlock prevention.,Optimal CPU scheduling.,Cooperating processes.,Memory fragmentation.,Network security protocols.,C,The text describes the 'Producer-Consumer Problem' as a 'Common paradigm for cooperating processes.'
"In the Producer-Consumer problem, what is the primary role of the producer process?",To manage system resources.,To consume information produced by another process.,To produce information to be consumed by another process.,To synchronize access to shared resources.,To handle user input and output.,C,The text defines a Producer process as one that 'produces information' for a consumer process.
